top,bottom,step_percent,期末账户总值,账户总额,总收益率,年化收益率,最大回撤,每年年化收益率,夏普比率,最大回撤期间,SQN,策略评价(根据SQN),策略波动率,欧米伽,夏普值,sortino,calmar,交易次数,胜率,败率
15,8,0.05,20000.0,20000.0,0.10194972552074341,0.1120025890365742,10.066547477155344,"OrderedDict([(2024, 0.1073278000000002)])",,61.0,0.0,很差,0.1374585609621125,0.021984462273750234,0.052924033542035474,inf,1.3323530733734676,,,
15,8,0.060000000000000005,20000.0,20000.0,0.0806829488292668,0.08764733469046963,7.295966578803402,"OrderedDict([(2024, 0.08402715000000005)])",,61.0,0.0,很差,0.10838559194328196,0.011034848579038163,0.05220729083293504,inf,1.45207208538118,,,
15,8,0.07,20000.0,20000.0,0.06246621915227199,0.06720968136039253,6.176953299845825,"OrderedDict([(2024, 0.0644585000000002)])",,61.0,0.0,很差,0.0878504508746668,0.007581687765108739,0.049379659458380486,inf,1.2837793269391664,,,
15,8,0.08000000000000002,20000.0,20000.0,0.07078562354624231,0.07649527577971209,5.530412294225892,"OrderedDict([(2024, 0.0733511)])",,61.0,0.0,很差,0.08302972185096173,0.005641517297639377,0.05851519910392653,inf,1.6339879174264342,,,
15,8,0.09000000000000001,20000.0,20000.0,0.07376798579348025,0.07984363653608566,4.896945617084678,"OrderedDict([(2024, 0.07655700000000021)])",,61.0,0.0,很差,0.07259757729351134,0.0034062155482512883,0.06892581638385878,inf,1.9722555280479845,,,
15,8,0.1,20000.0,20000.0,0.04858580995719901,0.051895198394101026,4.3378881987577635,"OrderedDict([(2024, 0.04978545000000012)])",,61.0,0.0,很差,0.05761327636354071,0.00035158227711863747,0.05712242803632494,inf,1.3924403232660147,,,
15,8,0.11000000000000001,20000.0,20000.0,0.06108141158974641,0.06567184097306164,3.176888027144934,"OrderedDict([(2024, 0.06298545000000022)])",,61.0,0.0,很差,0.054593747793321205,0.0002941851319673908,0.07510505527569596,inf,2.3710660063073963,,,
15,8,0.12000000000000001,20000.0,20000.0,0.06642934178400209,0.07162303666748236,2.9043989438549294,"OrderedDict([(2024, 0.06868545000000004)])",,61.0,0.0,很差,0.05365285604576197,0.0002697660755496639,0.08290266712953173,inf,3.0019837441678487,,,
15,8,0.13,20000.0,20000.0,0.0696057702927672,0.07517349772797897,2.7350171872664775,"OrderedDict([(2024, 0.0720854500000001)])",,61.0,0.0,很差,0.05282284523528412,0.00025530222547006477,0.08809857062435085,inf,3.3908030944276435,,,
15,8,0.14,20000.0,20000.0,0.04464606543194071,0.047588592240117585,2.5907615577560317,"OrderedDict([(2024, 0.04565770000000002)])",,61.0,0.0,很差,0.04211839423973591,0.0,0.07085477957994733,inf,2.152146914749748,,,
15,9,0.05,20000.0,20000.0,0.10194972552074341,0.1120025890365742,10.066547477155344,"OrderedDict([(2024, 0.1073278000000002)])",,61.0,0.0,很差,0.1374585609621125,0.021984462273750234,0.052924033542035474,inf,1.3323530733734676,,,
15,9,0.060000000000000005,20000.0,20000.0,0.0806829488292668,0.08764733469046963,7.295966578803402,"OrderedDict([(2024, 0.08402715000000005)])",,61.0,0.0,很差,0.10838559194328196,0.011034848579038163,0.05220729083293504,inf,1.45207208538118,,,
15,9,0.07,20000.0,20000.0,0.06246621915227199,0.06720968136039253,6.176953299845825,"OrderedDict([(2024, 0.0644585000000002)])",,61.0,0.0,很差,0.0878504508746668,0.007581687765108739,0.049379659458380486,inf,1.2837793269391664,,,
15,9,0.08000000000000002,20000.0,20000.0,0.07078562354624231,0.07649527577971209,5.530412294225892,"OrderedDict([(2024, 0.0733511)])",,61.0,0.0,很差,0.08302972185096173,0.005641517297639377,0.05851519910392653,inf,1.6339879174264342,,,
15,9,0.09000000000000001,20000.0,20000.0,0.07376798579348025,0.07984363653608566,4.896945617084678,"OrderedDict([(2024, 0.07655700000000021)])",,61.0,0.0,很差,0.07259757729351134,0.0034062155482512883,0.06892581638385878,inf,1.9722555280479845,,,
15,9,0.1,20000.0,20000.0,0.04858580995719901,0.051895198394101026,4.3378881987577635,"OrderedDict([(2024, 0.04978545000000012)])",,61.0,0.0,很差,0.05761327636354071,0.00035158227711863747,0.05712242803632494,inf,1.3924403232660147,,,
15,9,0.11000000000000001,20000.0,20000.0,0.06108141158974641,0.06567184097306164,3.176888027144934,"OrderedDict([(2024, 0.06298545000000022)])",,61.0,0.0,很差,0.054593747793321205,0.0002941851319673908,0.07510505527569596,inf,2.3710660063073963,,,
15,9,0.12000000000000001,20000.0,20000.0,0.06642934178400209,0.07162303666748236,2.9043989438549294,"OrderedDict([(2024, 0.06868545000000004)])",,61.0,0.0,很差,0.05365285604576197,0.0002697660755496639,0.08290266712953173,inf,3.0019837441678487,,,
15,9,0.13,20000.0,20000.0,0.0696057702927672,0.07517349772797897,2.7350171872664775,"OrderedDict([(2024, 0.0720854500000001)])",,61.0,0.0,很差,0.05282284523528412,0.00025530222547006477,0.08809857062435085,inf,3.3908030944276435,,,
15,9,0.14,20000.0,20000.0,0.04464606543194071,0.047588592240117585,2.5907615577560317,"OrderedDict([(2024, 0.04565770000000002)])",,61.0,0.0,很差,0.04211839423973591,0.0,0.07085477957994733,inf,2.152146914749748,,,
15,10,0.05,20000.0,20000.0,0.10194972552074341,0.1120025890365742,10.066547477155344,"OrderedDict([(2024, 0.1073278000000002)])",,61.0,0.0,很差,0.1374585609621125,0.021984462273750234,0.052924033542035474,inf,1.3323530733734676,,,
