date,time,code,open,high,low,close,volume,amount,adjustflag
2023-01-03,20230103103000000,sz.002381,6.3400,6.5300,6.3400,6.4600,2912557,18814801.0000,3
2023-01-03,20230103113000000,sz.002381,6.4700,6.4700,6.4100,6.4200,781700,5028780.0000,3
2023-01-03,20230103140000000,sz.002381,6.4300,6.4700,6.4200,6.4700,1122500,7230948.0000,3
2023-01-03,20230103150000000,sz.002381,6.4700,6.5100,6.4700,6.4700,1543300,10015061.0000,3
2023-01-04,20230104103000000,sz.002381,6.4800,6.5300,6.4500,6.4800,1962876,12713950.0000,3
2023-01-04,20230104113000000,sz.002381,6.4800,6.5400,6.4700,6.5000,1169900,7617423.0000,3
2023-01-04,20230104140000000,sz.002381,6.5000,6.5400,6.4900,6.5100,927800,6040828.0000,3
2023-01-04,20230104150000000,sz.002381,6.5100,6.5200,6.4900,6.5100,1185300,7715320.0000,3
2023-01-05,20230105103000000,sz.002381,6.5200,6.5500,6.4400,6.4700,1915500,12384790.0000,3
2023-01-05,20230105113000000,sz.002381,6.4700,6.4800,6.4500,6.4600,598600,3869207.0000,3
2023-01-05,20230105140000000,sz.002381,6.4600,6.4600,6.4200,6.4300,1309900,8434821.0000,3
2023-01-05,20230105150000000,sz.002381,6.4300,6.4600,6.4300,6.4300,1059700,6824504.0000,3
2023-01-06,20230106103000000,sz.002381,6.4600,6.4900,6.4000,6.4500,1870944,12060961.0000,3
2023-01-06,20230106113000000,sz.002381,6.4500,6.4600,6.4300,6.4400,634000,4085873.0000,3
2023-01-06,20230106140000000,sz.002381,6.4400,6.4500,6.3800,6.3900,820100,5262831.0000,3
2023-01-06,20230106150000000,sz.002381,6.3900,6.4200,6.3800,6.4000,1005000,6427280.0000,3
2023-01-09,20230109103000000,sz.002381,6.4300,6.5000,6.4200,6.4900,1580600,10228855.0000,3
2023-01-09,20230109113000000,sz.002381,6.4900,6.5000,6.4700,6.4800,735200,4768260.0000,3
2023-01-09,20230109140000000,sz.002381,6.4900,6.6000,6.4700,6.5300,1889000,12359271.0000,3
2023-01-09,20230109150000000,sz.002381,6.5300,6.5500,6.5200,6.5400,1106400,7227224.0000,3
2023-01-10,20230110103000000,sz.002381,6.5100,6.6200,6.4400,6.4400,1352600,8753877.0000,3
2023-01-10,20230110113000000,sz.002381,6.4400,6.4500,6.4100,6.4200,663325,4264541.0000,3
2023-01-10,20230110140000000,sz.002381,6.4300,6.4300,6.4000,6.4100,543400,3485935.0000,3
2023-01-10,20230110150000000,sz.002381,6.4200,6.4400,6.4100,6.4200,706100,4534448.0000,3
2023-01-11,20230111103000000,sz.002381,6.4500,6.5100,6.4100,6.4400,1267600,8176826.0000,3
2023-01-11,20230111113000000,sz.002381,6.4400,6.4500,6.3900,6.4200,613400,3939963.0000,3
2023-01-11,20230111140000000,sz.002381,6.4100,6.4200,6.3600,6.3600,561400,3586025.0000,3
2023-01-11,20230111150000000,sz.002381,6.3600,6.3900,6.3300,6.3400,850400,5406058.0000,3
2023-01-12,20230112103000000,sz.002381,6.3700,6.4200,6.3500,6.3900,1062325,6784760.0000,3
2023-01-12,20230112113000000,sz.002381,6.3900,6.4100,6.3700,6.3900,405100,2589225.0000,3
2023-01-12,20230112140000000,sz.002381,6.3900,6.4000,6.3600,6.3700,617375,3936505.0000,3
2023-01-12,20230112150000000,sz.002381,6.3700,6.3900,6.3500,6.3600,547500,3486464.0000,3
2023-01-13,20230113103000000,sz.002381,6.4300,6.4300,6.3300,6.3500,1132700,7194428.0000,3
2023-01-13,20230113113000000,sz.002381,6.3500,6.3800,6.3300,6.3300,488400,3102640.0000,3
2023-01-13,20230113140000000,sz.002381,6.3400,6.3500,6.3100,6.3100,552500,3499118.0000,3
2023-01-13,20230113150000000,sz.002381,6.3100,6.3700,6.3100,6.3600,750850,4761581.0000,3
2023-01-16,20230116103000000,sz.002381,6.3300,6.4400,6.3300,6.4200,1316150,8415475.0000,3
2023-01-16,20230116113000000,sz.002381,6.4200,6.4700,6.4200,6.4500,832600,5370543.0000,3
2023-01-16,20230116140000000,sz.002381,6.4600,6.5400,6.4500,6.5100,1589100,10315672.0000,3
2023-01-16,20230116150000000,sz.002381,6.5200,6.5600,6.5100,6.5600,1354500,8847352.0000,3
2023-01-17,20230117103000000,sz.002381,6.5100,6.6800,6.4600,6.6300,2918100,19247675.0000,3
2023-01-17,20230117113000000,sz.002381,6.6300,6.6800,6.6100,6.6600,1582900,10518013.0000,3
2023-01-17,20230117140000000,sz.002381,6.6600,6.7700,6.6600,6.7100,2117500,14211137.0000,3
2023-01-17,20230117150000000,sz.002381,6.7000,6.7600,6.6800,6.7300,1722600,11572602.0000,3
2023-01-18,20230118103000000,sz.002381,6.7800,6.9500,6.6900,6.8300,4760213,32494335.0000,3
2023-01-18,20230118113000000,sz.002381,6.8300,6.8900,6.8000,6.8700,1463700,10018173.0000,3
2023-01-18,20230118140000000,sz.002381,6.8800,6.9200,6.8500,6.8700,1228200,8463981.0000,3
2023-01-18,20230118150000000,sz.002381,6.8700,6.8800,6.8500,6.8800,1350700,9275075.0000,3
2023-01-19,20230119103000000,sz.002381,6.8900,6.9300,6.8000,6.8300,2464500,16868530.0000,3
2023-01-19,20230119113000000,sz.002381,6.8400,6.8700,6.8200,6.8300,822200,5628281.0000,3
2023-01-19,20230119140000000,sz.002381,6.8300,6.8500,6.8000,6.8200,1075000,7330949.0000,3
2023-01-19,20230119150000000,sz.002381,6.8100,6.8600,6.8000,6.8500,1307600,8935498.0000,3
2023-01-20,20230120103000000,sz.002381,6.8800,6.8900,6.7700,6.8300,1846600,12576640.0000,3
2023-01-20,20230120113000000,sz.002381,6.8300,6.8300,6.7900,6.8200,642434,4377378.0000,3
2023-01-20,20230120140000000,sz.002381,6.8200,6.8300,6.8000,6.8200,410400,2797798.0000,3
2023-01-20,20230120150000000,sz.002381,6.8200,6.8300,6.7700,6.7800,1390100,9450709.0000,3
2023-01-30,20230130103000000,sz.002381,6.8300,6.8700,6.7400,6.7700,2270800,15403877.0000,3
2023-01-30,20230130113000000,sz.002381,6.7700,6.7900,6.7400,6.7600,743500,5024904.0000,3
2023-01-30,20230130140000000,sz.002381,6.7700,6.7800,6.7500,6.7500,883600,5972333.0000,3
2023-01-30,20230130150000000,sz.002381,6.7500,6.7700,6.7400,6.7500,1326900,8959549.0000,3
2023-01-31,20230131103000000,sz.002381,6.7100,6.7600,6.6900,6.7000,1339600,8993271.0000,3
2023-01-31,20230131113000000,sz.002381,6.7000,6.7100,6.6700,6.6700,847500,5672623.0000,3
2023-01-31,20230131140000000,sz.002381,6.6700,6.7500,6.6700,6.7300,658800,4428785.0000,3
2023-01-31,20230131150000000,sz.002381,6.7300,6.7400,6.7100,6.7200,822100,5526482.0000,3
2023-02-01,20230201103000000,sz.002381,6.7500,6.7600,6.6800,6.7000,1117300,7496210.0000,3
2023-02-01,20230201113000000,sz.002381,6.7000,6.7100,6.6800,6.7000,524000,3507966.0000,3
2023-02-01,20230201140000000,sz.002381,6.7100,6.7400,6.7000,6.7200,598300,4024142.0000,3
2023-02-01,20230201150000000,sz.002381,6.7200,6.7700,6.7200,6.7600,1195000,8065271.0000,3
2023-02-02,20230202103000000,sz.002381,6.7700,6.7800,6.7200,6.7400,1267100,8550119.0000,3
2023-02-02,20230202113000000,sz.002381,6.7500,6.9000,6.7500,6.8300,1763100,12048308.0000,3
2023-02-02,20230202140000000,sz.002381,6.8300,6.8700,6.8100,6.8100,744600,5096329.0000,3
2023-02-02,20230202150000000,sz.002381,6.8100,6.8300,6.7900,6.8000,938890,6393671.0000,3
2023-02-03,20230203103000000,sz.002381,6.8300,6.9000,6.7800,6.8500,2280826,15632620.0000,3
2023-02-03,20230203113000000,sz.002381,6.8600,6.8600,6.7800,6.7800,1213800,8273273.0000,3
2023-02-03,20230203140000000,sz.002381,6.7800,6.8100,6.7600,6.7900,586100,3978152.0000,3
2023-02-03,20230203150000000,sz.002381,6.7900,6.8700,6.7900,6.8500,1513800,10355462.0000,3
2023-02-06,20230206103000000,sz.002381,6.8400,6.8700,6.7700,6.7700,1488000,10137443.0000,3
2023-02-06,20230206113000000,sz.002381,6.7700,6.8000,6.7400,6.7600,702800,4759416.0000,3
2023-02-06,20230206140000000,sz.002381,6.7500,6.8000,6.7400,6.7600,762900,5156402.0000,3
2023-02-06,20230206150000000,sz.002381,6.7600,6.7800,6.7500,6.7600,764644,5170207.0000,3
2023-02-07,20230207103000000,sz.002381,6.8200,6.8600,6.7800,6.8000,1312900,8952832.0000,3
2023-02-07,20230207113000000,sz.002381,6.7900,6.8100,6.7700,6.8000,464700,3155936.0000,3
2023-02-07,20230207140000000,sz.002381,6.8000,6.8000,6.7300,6.7300,762900,5157413.0000,3
