股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
绿色电力,399438,2014-12-30,2335.94,2258.83,2335.94,2240.06,25408245,16234384384.0,0.0,0.0,0.0,0.91
绿色电力,399438,2014-12-31,2252.91,2332.43,2367.2,2238.68,31106586,21366897408.0,5.69,3.26,73.6,1.11
绿色电力,399438,2015-01-05,2341.28,2438.17,2450.18,2331.84,40422129,29040775680.0,5.07,4.53,105.74,1.44
绿色电力,399438,2015-01-06,2416.36,2398.03,2416.36,2360.34,25806912,18551771904.0,2.3,-1.65,-40.14,0.92
绿色电力,399438,2015-01-07,2386.04,2421.12,2422.59,2372.53,23069601,16521371648.0,2.09,0.96,23.09,0.82
绿色电力,399438,2015-01-08,2414.92,2334.81,2419.53,2330.27,22718747,14973586176.0,3.69,-3.56,-86.31,0.81
绿色电力,399438,2015-01-09,2316.83,2291.88,2364.71,2283.88,20610085,14265572352.0,3.46,-1.84,-42.93,0.74
绿色电力,399438,2015-01-12,2266.38,2208.94,2266.38,2190.43,18386155,11872516864.0,3.31,-3.62,-82.94,0.66
绿色电力,399438,2015-01-13,2201.98,2217.2,2232.09,2201.82,10603548,6769020928.0,1.37,0.37,8.26,0.38
绿色电力,399438,2015-01-14,2223.52,2218.9,2238.9,2202.7,9682233,6358499328.0,1.63,0.08,1.7,0.35
绿色电力,399438,2015-01-15,2221.49,2278.2,2278.2,2221.49,12746196,8223133184.0,2.56,2.67,59.3,0.46
绿色电力,399438,2015-01-16,2296.55,2286.43,2318.55,2278.08,14729291,9955394048.0,1.78,0.36,8.23,0.53
绿色电力,399438,2015-01-19,2178.3,2099.57,2219.71,2084.02,20410244,12947774464.0,5.93,-8.17,-186.86,0.73
绿色电力,399438,2015-01-20,2111.97,2136.63,2156.51,2102.84,14638273,9062519808.0,2.56,1.77,37.06,0.52
绿色电力,399438,2015-01-21,2141.05,2211.16,2217.09,2132.09,16862547,10683112960.0,3.98,3.49,74.53,0.6
绿色电力,399438,2015-01-22,2213.25,2216.79,2219.63,2194.27,12087594,7715464704.0,1.15,0.25,5.63,0.43
绿色电力,399438,2015-01-23,2218.86,2214.55,2240.62,2201.52,13322907,8537257984.0,1.76,-0.1,-2.24,0.48
绿色电力,399438,2015-01-26,2215.22,2246.97,2248.92,2207.53,13820480,9054309632.0,1.87,1.46,32.42,0.49
绿色电力,399438,2015-01-27,2245.61,2228.95,2246.2,2186.15,14197336,9661598976.0,2.67,-0.8,-18.02,0.51
绿色电力,399438,2015-01-28,2218.48,2217.31,2238.06,2205.88,12210940,8412079104.0,1.44,-0.52,-11.64,0.44
绿色电力,399438,2015-01-29,2201.31,2255.9,2274.91,2195.73,23726095,14870168832.0,3.57,1.74,38.59,0.85
绿色电力,399438,2015-01-30,2261.1,2235.52,2291.81,2235.47,22222423,14947642880.0,2.5,-0.9,-20.38,0.79
绿色电力,399438,2015-02-02,2196.0,2156.59,2196.0,2147.04,15657306,10315628800.0,2.19,-3.53,-78.93,0.56
绿色电力,399438,2015-02-03,2170.53,2187.45,2189.15,2155.52,11896617,7933213696.0,1.56,1.43,30.86,0.43
绿色电力,399438,2015-02-04,2197.32,2188.37,2216.04,2186.24,13800123,9455318528.0,1.36,0.04,0.92,0.49
绿色电力,399438,2015-02-05,2218.35,2131.88,2218.54,2131.49,17635137,11981634560.0,3.98,-2.58,-56.49,0.63
绿色电力,399438,2015-02-06,2118.3,2044.64,2118.3,2032.76,17392703,10758512384.0,4.01,-4.09,-87.24,0.62
绿色电力,399438,2015-02-09,2035.71,2024.72,2041.17,2007.35,11441496,7120988672.0,1.65,-0.97,-19.92,0.41
绿色电力,399438,2015-02-10,2024.26,2071.67,2072.16,2022.22,8786129,5727979008.0,2.47,2.32,46.95,0.31
绿色电力,399438,2015-02-11,2076.26,2082.77,2091.63,2074.48,7850541,5092148736.0,0.83,0.54,11.1,0.28
绿色电力,399438,2015-02-12,2082.32,2093.13,2104.19,2061.39,9096652,5442643200.0,2.05,0.5,10.36,0.33
绿色电力,399438,2015-02-13,2100.23,2124.02,2140.78,2100.23,11371763,7453027328.0,1.94,1.48,30.89,0.41
绿色电力,399438,2015-02-16,2125.22,2132.2,2135.14,2123.23,8251718,5717917696.0,0.56,0.39,8.18,0.29
绿色电力,399438,2015-02-17,2137.91,2148.42,2149.13,2137.63,8135800,5309642496.0,0.54,0.76,16.22,0.29
绿色电力,399438,2015-02-25,2152.07,2181.6,2203.33,2138.34,13179932,8976333568.0,3.03,1.54,33.18,0.47
绿色电力,399438,2015-02-26,2178.94,2221.42,2223.21,2176.11,12409672,8282317824.0,2.16,1.83,39.82,0.44
绿色电力,399438,2015-02-27,2225.23,2221.85,2237.12,2212.45,11863950,8244018944.0,1.11,0.02,0.43,0.42
绿色电力,399438,2015-03-02,2247.76,2256.22,2257.23,2227.25,15439453,10366911488.0,1.35,1.55,34.37,0.55
绿色电力,399438,2015-03-03,2248.93,2212.21,2248.93,2211.25,15986304,10546002688.0,1.67,-1.95,-44.01,0.57
