股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
证券公司,399975,2015-05-19,1518.04,1632.28,1659.57,1518.04,37726124,93090648064.0,0.0,0.0,0.0,1.44
证券公司,399975,2015-05-20,1637.58,1604.66,1637.58,1602.0,28282329,71472685056.0,2.18,-1.69,-27.62,1.08
证券公司,399975,2015-05-21,1603.09,1601.81,1610.02,1582.24,18581089,46177363968.0,1.73,-0.18,-2.85,0.71
证券公司,399975,2015-05-22,1619.44,1653.2,1681.65,1614.6,34181688,86491877376.0,4.19,3.21,51.39,1.31
证券公司,399975,2015-05-25,1658.89,1700.7,1730.0,1658.89,38034961,97657790464.0,4.3,2.87,47.5,1.45
证券公司,399975,2015-05-26,1710.75,1720.23,1735.71,1667.81,40577472,99649470464.0,3.99,1.15,19.53,1.55
证券公司,399975,2015-05-27,1722.82,1716.63,1746.18,1705.79,33675404,85180194816.0,2.35,-0.21,-3.6,1.29
证券公司,399975,2015-05-28,1713.73,1561.57,1717.02,1561.08,38464287,95343857664.0,9.08,-9.03,-155.06,1.47
证券公司,399975,2015-05-29,1571.14,1544.43,1591.32,1516.4,28143748,66083620864.0,4.8,-1.1,-17.14,1.07
证券公司,399975,2015-06-01,1545.85,1628.47,1650.87,1524.92,30831077,74131116032.0,8.16,5.44,84.04,1.18
证券公司,399975,2015-06-02,1621.63,1622.8,1636.12,1595.51,25065342,60526732032.0,2.49,-0.35,-5.67,0.96
证券公司,399975,2015-06-03,1627.73,1613.43,1653.87,1604.61,24151398,60110698496.0,3.04,-0.58,-9.37,0.92
证券公司,399975,2015-06-04,1616.12,1645.17,1658.33,1539.24,31400651,78562934784.0,7.38,1.97,31.74,1.2
证券公司,399975,2015-06-05,1679.26,1637.92,1687.32,1610.2,32081255,81205428224.0,4.69,-0.44,-7.25,1.22
证券公司,399975,2015-06-08,1640.19,1717.1,1722.04,1626.97,41735548,108913152000.0,5.8,4.83,79.18,1.59
证券公司,399975,2015-06-09,1730.3,1681.95,1734.67,1664.66,28733949,77818703872.0,4.08,-2.05,-35.15,1.1
证券公司,399975,2015-06-10,1665.51,1662.42,1682.94,1651.48,20903652,54938336000.0,1.87,-1.16,-19.53,0.8
证券公司,399975,2015-06-11,1658.97,1639.59,1661.39,1627.61,18538193,48300299264.0,2.03,-1.37,-22.83,0.71
证券公司,399975,2015-06-12,1647.49,1639.83,1666.54,1632.67,19252065,49068915456.0,2.07,0.01,0.24,0.74
证券公司,399975,2015-06-15,1667.83,1604.23,1673.87,1601.46,28020758,72122769408.0,4.42,-2.17,-35.6,1.07
证券公司,399975,2015-06-16,1593.45,1583.84,1634.43,1566.35,23277795,58247458560.0,4.24,-1.27,-20.39,0.89
证券公司,399975,2015-06-17,1587.13,1589.9,1596.17,1543.04,19915382,48990479616.0,3.35,0.38,6.06,0.76
证券公司,399975,2015-06-18,1576.22,1508.4,1578.16,1508.29,18450635,45588841984.0,4.39,-5.13,-81.5,0.7
证券公司,399975,2015-06-19,1487.18,1434.46,1536.65,1434.16,20565932,48921168128.0,6.79,-4.9,-73.94,0.79
证券公司,399975,2015-06-23,1441.61,1489.43,1492.25,1396.08,22370899,52089100288.0,6.7,3.83,54.97,0.85
证券公司,399975,2015-06-24,1496.18,1489.75,1496.18,1457.48,21016816,51295458304.0,2.6,0.02,0.32,0.8
证券公司,399975,2015-06-25,1493.68,1446.64,1518.43,1439.33,23553447,57719405312.0,5.31,-2.89,-43.11,0.9
证券公司,399975,2015-06-26,1414.17,1307.03,1470.29,1301.67,31418672,70271442944.0,11.66,-9.65,-139.61,1.2
证券公司,399975,2015-06-29,1348.72,1214.23,1348.72,1177.96,36383936,75429732352.0,13.06,-7.1,-92.8,1.39
证券公司,399975,2015-06-30,1214.13,1324.61,1325.17,1159.07,35573656,72627277824.0,13.68,9.09,110.38,1.36
证券公司,399975,2015-07-01,1307.39,1240.97,1343.3,1234.46,27859036,59491721984.0,8.22,-6.31,-83.64,1.06
证券公司,399975,2015-07-02,1288.11,1234.91,1302.78,1187.51,33612219,69421514752.0,9.29,-0.49,-6.06,1.28
证券公司,399975,2015-07-03,1220.66,1185.35,1278.49,1138.51,29351939,58050909696.0,11.34,-4.01,-49.56,1.12
证券公司,399975,2015-07-06,1299.33,1254.7,1299.33,1194.15,40555565,82531049472.0,8.87,5.85,69.35,1.55
证券公司,399975,2015-07-07,1220.25,1188.12,1254.62,1136.22,43603162,81699663872.0,9.44,-5.31,-66.58,1.66
证券公司,399975,2015-07-08,1093.9,1074.15,1124.14,1073.79,33422712,60359996928.0,4.24,-9.59,-113.97,1.28
证券公司,399975,2015-07-09,1050.94,1176.8,1177.11,990.25,44891031,78161076224.0,17.4,9.56,102.65,1.71
证券公司,399975,2015-07-10,1166.3,1278.44,1288.59,1157.25,47229573,94340714496.0,11.16,8.64,101.64,1.8
证券公司,399975,2015-07-13,1261.44,1290.61,1335.68,1238.31,45434171,91511005184.0,7.62,0.95,12.17,1.73
证券公司,399975,2015-07-14,1255.83,1209.87,1276.36,1197.48,34883221,67792549376.0,6.11,-6.26,-80.74,1.33
证券公司,399975,2015-07-15,1183.72,1130.45,1221.47,1112.88,29173374,52859723264.0,8.98,-6.56,-79.42,1.11
证券公司,399975,2015-07-16,1126.64,1134.46,1167.78,1099.58,19393752,34332100096.0,6.03,0.35,4.01,0.74
证券公司,399975,2015-07-17,1145.68,1190.3,1205.15,1132.15,22530858,41669795072.0,6.43,4.92,55.84,0.86
证券公司,399975,2015-07-20,1187.12,1163.93,1200.2,1153.97,22050887,41445889792.0,3.88,-2.22,-26.37,0.84
证券公司,399975,2015-07-21,1148.09,1172.47,1199.93,1135.33,25035140,46283078400.0,5.55,0.73,8.54,0.96
证券公司,399975,2015-07-22,1164.79,1152.06,1177.47,1141.92,17934194,32866432768.0,3.03,-1.74,-20.41,0.68
证券公司,399975,2015-07-23,1155.49,1183.38,1189.32,1155.49,24044632,44956617472.0,2.94,2.72,31.32,0.92
证券公司,399975,2015-07-24,1186.81,1146.14,1190.2,1143.62,23189618,42880683264.0,3.94,-3.15,-37.24,0.89
证券公司,399975,2015-07-27,1125.56,1032.62,1128.19,1032.59,24481397,42388668672.0,8.34,-9.9,-113.52,0.93
证券公司,399975,2015-07-28,999.84,1088.0,1097.76,951.91,39932033,66810396416.0,14.12,5.36,55.38,1.52
证券公司,399975,2015-07-29,1080.51,1090.36,1092.39,1052.7,19874294,33942708736.0,3.65,0.22,2.36,0.76
证券公司,399975,2015-07-30,1082.9,1033.81,1100.56,1030.69,16341344,27642178560.0,6.41,-5.19,-56.55,0.62
证券公司,399975,2015-07-31,1019.76,1038.32,1050.18,1019.76,15209473,25011638528.0,2.94,0.44,4.51,0.58
证券公司,399975,2015-08-03,1018.34,1044.09,1044.3,1016.05,15202747,24749284608.0,2.72,0.56,5.77,0.58
证券公司,399975,2015-08-04,1044.82,1069.96,1071.82,1033.73,15232652,25219094272.0,3.65,2.48,25.87,0.58
证券公司,399975,2015-08-05,1064.39,1037.21,1068.06,1036.28,12050344,20248031744.0,2.97,-3.06,-32.75,0.46
证券公司,399975,2015-08-06,1017.96,1008.09,1031.94,1007.44,9776669,16196093184.0,2.36,-2.81,-29.12,0.37
