日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PB市值加权,PB 分位点,PB 80%分位点值,PB 50%分位点值,PB 20%分位点值
2023-08-28,=9930.0748,=14865.3864,=1382935998207.7500,=1229619561267,=688038651743.4849,=3.0065,=0.2641,=4.0253,=3.4484,=2.9250
2023-08-25,=9849.3033,=14744.4709,=1370653599139.0002,=1220541823062,=679757555317.7090,=2.9862,=0.2471,=4.0253,=3.4522,=2.9250
2023-08-24,=9938.5890,=14823.5812,=1380901819791.9795,=1228569741976,=683015653783.6174,=2.9757,=0.2394,=4.0253,=3.4530,=2.9250
2023-08-23,=9789.9732,=14601.9181,=1357962028610.5100,=1208454456174,=670173885374.9753,=2.9293,=0.2028,=4.0253,=3.4538,=2.9250
2023-08-22,=9927.4036,=14806.8980,=1376323965682.2400,=1223627037380,=677789266810.0328,=2.9750,=0.2376,=4.0262,=3.4552,=2.9246
2023-08-21,=9887.7317,=14747.7266,=1373315548245.7598,=1220853142741,=676136299459.3015,=2.9685,=0.2344,=4.0262,=3.4565,=2.9246
2023-08-18,=10016.0859,=14939.1691,=1390541051043.8799,=1235955287158,=684880521933.6970,=3.0064,=0.2590,=4.0262,=3.4565,=2.9246
2023-08-17,=10163.2254,=15158.6302,=1408185612601.1001,=1250648029147,=696483291911.8135,=3.0513,=0.2928,=4.0262,=3.4566,=2.9246
2023-08-16,=10067.8526,=15016.3800,=1396143792189.6699,=1238853453711,=690630709917.2214,=3.0252,=0.2769,=4.0262,=3.4570,=2.9246
2023-08-15,=10122.7713,=15098.2923,=1402402828103.9597,=1243807593433,=692160229388.8971,=3.0388,=0.2854,=4.0262,=3.4573,=2.9195
2023-08-14,=10181.5319,=15185.9348,=1409619597545.4597,=1250676353061,=695280774561.9202,=3.0544,=0.2950,=4.0262,=3.4575,=2.9195
2023-08-11,=10211.2930,=15230.3240,=1413302188513.6299,=1252347519171,=696197539578.4011,=3.0624,=0.3070,=4.0262,=3.4576,=2.9195
2023-08-10,=10439.5643,=15570.7947,=1443270048509.4802,=1277809141147,=711354284636.0973,=3.1274,=0.3655,=4.0262,=3.4581,=2.9195
2023-08-09,=10457.9078,=15598.1543,=1449528071335.8997,=1285910626807,=717355829027.0066,=3.1409,=0.3811,=4.0262,=3.4585,=2.9195
2023-08-08,=10561.0104,=15686.4873,=1458047583762.4302,=1290722188586,=721870884253.8157,=3.1214,=0.3617,=4.0281,=3.4597,=2.9180
2023-08-07,=10614.5078,=15762.9320,=1467439342070.5598,=1298230014453,=727600567271.7721,=3.1394,=0.3797,=4.0281,=3.4609,=2.9180
2023-08-04,=10698.9734,=15888.3665,=1477517675846.4099,=1305480038699,=732226595368.1168,=3.1609,=0.4012,=4.0281,=3.4611,=2.9180
2023-08-03,=10697.8841,=15886.7488,=1477983658160.8301,=1305541414881,=731577580040.9042,=3.1619,=0.4028,=4.0281,=3.4613,=2.9180
2023-08-02,=10696.3195,=15884.4253,=1478473237983.3298,=1305865583528,=732715821537.1584,=3.1630,=0.4045,=4.0281,=3.4616,=2.9180
2023-08-01,=10696.4832,=15884.6683,=1478695138372.4998,=1305398320796,=733051308135.3763,=3.1635,=0.4049,=4.0341,=3.4619,=2.9176
2023-07-31,=10795.3677,=16031.5154,=1494552069085.3098,=1319838498879,=741485154249.9185,=3.1974,=0.4277,=4.0341,=3.4632,=2.9176
2023-07-28,=10715.3478,=15912.6829,=1483553338238.5400,=1310124524506,=739789032345.9956,=3.1739,=0.4118,=4.0341,=3.4645,=2.9176
2023-07-27,=10483.5263,=15568.4195,=1452498027277.2000,=1283052184473,=724651104656.6949,=3.1074,=0.3534,=4.0341,=3.4646,=2.9176
2023-07-26,=10540.4491,=15652.9519,=1462273348950.7395,=1291018222740,=729146594220.7361,=3.1283,=0.3691,=4.0341,=3.4648,=2.9176
2023-07-25,=10629.2676,=15784.8507,=1472633032065.0300,=1300979873991,=733496505476.5509,=3.1505,=0.3943,=4.0344,=3.4658,=2.9174
2023-07-24,=10237.0113,=15202.3357,=1419343708769.3997,=1253505338173,=703946393981.1891,=3.0365,=0.2896,=4.0344,=3.4667,=2.9174
2023-07-21,=10305.8272,=15304.5298,=1430416883262.8301,=1262638366788,=709198071302.8805,=3.0602,=0.3089,=4.0344,=3.4698,=2.9174
2023-07-20,=10398.1735,=15441.6674,=1440504820880.5000,=1270837529677,=714936408721.3099,=3.0818,=0.3341,=4.0344,=3.4729,=2.9174
2023-07-19,=10496.4369,=15585.0147,=1452156177214.4800,=1275702289727,=721223500112.5847,=3.1059,=0.3511,=4.0344,=3.4733,=2.9174
2023-07-18,=10398.8182,=15440.0714,=1436817079921.4602,=1258922864705,=711700055075.0708,=3.0731,=0.3207,=4.0406,=3.4737,=2.9164
2023-07-17,=10376.0222,=15406.2241,=1434941796136.7202,=1256351685403,=711524250713.5155,=3.0702,=0.3163,=4.0406,=3.4741,=2.9164
2023-07-14,=10413.5353,=15451.8950,=1438720108552.3496,=1260532715747,=714304527965.9957,=3.0737,=0.3202,=4.0406,=3.4745,=2.9164
2023-07-13,=10522.7754,=15613.9885,=1452081560164.0100,=1272835805761,=720872456967.0847,=3.1023,=0.3468,=4.0406,=3.4757,=2.9164
2023-07-12,=10481.6268,=15552.9311,=1445348654021.3601,=1265676578244,=716830811409.8110,=3.0879,=0.3377,=4.0406,=3.4770,=2.9164
2023-07-11,=10464.8588,=15528.0502,=1442321342523.5601,=1262586388814,=714824410914.4641,=3.0814,=0.3309,=4.0429,=3.4770,=2.9160
2023-07-10,=10356.4518,=15367.1929,=1428757379565.5503,=1251164227380,=709057018139.9769,=3.0525,=0.3002,=4.0429,=3.4771,=2.9160
2023-07-07,=10470.0243,=15535.7149,=1442441109254.5698,=1261543862556,=716737739292.1691,=3.0817,=0.3305,=4.0429,=3.4782,=2.9160
2023-07-06,=10554.8004,=15661.5080,=1453179557952.5801,=1271227703496,=722737777553.8662,=3.1046,=0.3441,=4.0429,=3.4793,=2.9160
2023-07-05,=10621.5696,=15755.4083,=1465100342876.7102,=1282306316855,=728959918947.3297,=3.1263,=0.3577,=4.0429,=3.4800,=2.9160
2023-07-04,=10702.1389,=15874.9201,=1473152976677.7605,=1288527868100,=731183346056.1074,=3.1434,=0.3726,=4.0530,=3.4808,=2.9135
2023-07-03,=10738.3199,=15926.0914,=1478520858848.8501,=1292843824651,=734617306925.9214,=3.1540,=0.3863,=4.0530,=3.4821,=2.9135
2023-06-30,=10649.7871,=15794.7876,=1466595839953.2295,=1283455969525,=729135283541.2592,=3.1286,=0.3602,=4.0530,=3.4834,=2.9135
2023-06-29,=10689.8141,=15852.5749,=1284332598813.3899,=1103217492032,=668999635758.7710,=2.8719,=0.1532,=4.0530,=3.4839,=2.9135
2023-06-28,=10700.4233,=15868.3080,=1292592554429.5598,=1111246230085,=674620250518.2843,=2.8903,=0.1812,=4.0530,=3.4843,=2.9160
2023-06-27,=10664.0481,=15813.5027,=1287089202440.8799,=1106992756855,=672049394543.8690,=2.8771,=0.1572,=4.0598,=3.4847,=2.9160
2023-06-26,=10435.5003,=15474.5938,=1257596042995.5403,=1079849470571,=656078204036.5055,=2.8111,=0.1017,=4.0598,=3.4850,=2.9164
2023-06-21,=10515.0578,=15592.5681,=1260403426521.3301,=1082743454844,=657560562486.1550,=2.8174,=0.1067,=4.0598,=3.4852,=2.9174
2023-06-20,=10595.0472,=15708.0440,=1262773277529.8601,=1083577079527,=657388223065.4630,=2.8222,=0.1080,=4.0598,=3.4854,=2.9176
2023-06-19,=10462.2507,=15511.1621,=1250162940459.6204,=1071763162674,=650416847635.9607,=2.7940,=0.0948,=4.0598,=3.4857,=2.9180
2023-06-16,=10605.1823,=15723.0702,=1276640393864.6299,=1094123593115,=665866989142.1039,=2.8532,=0.1277,=4.0636,=3.4861,=2.9180
2023-06-15,=10583.8095,=15691.3832,=1273766509232.8401,=1093408051769,=663517256580.9459,=2.8467,=0.1218,=4.0636,=3.4864,=2.9195
2023-06-14,=10328.7511,=15305.4794,=1249798217766.8000,=1074501951126,=651804666041.7979,=2.7900,=0.0939,=4.0636,=3.4868,=2.9246
2023-06-13,=10300.0375,=15262.9306,=1243049786163.1101,=1067130918363,=647271237000.1769,=2.7749,=0.0879,=4.0636,=3.4871,=2.9250
2023-06-12,=10327.1523,=15303.1102,=1251657536517.6201,=1075658423856,=651887603790.6196,=2.7941,=0.0929,=4.0636,=3.4875,=2.9293
2023-06-09,=9983.5019,=14793.8779,=1220592108375.4299,=1049149385071,=636240109576.9946,=2.7248,=0.0759,=4.0671,=3.4875,=2.9293
2023-06-08,=10084.2959,=14935.8433,=1234002014009.7002,=1061710122135,=643344477073.6262,=2.7527,=0.0833,=4.0671,=3.4875,=2.9293
2023-06-07,=9915.8003,=14686.0256,=1210407266852.3198,=1039440872695,=628792368781.2078,=2.7000,=0.0687,=4.0671,=3.4883,=2.9300
2023-06-06,=9919.7100,=14691.8161,=1205513685660.7100,=1033119020337,=623975475152.9567,=2.6891,=0.0639,=4.0671,=3.4890,=2.9321
2023-06-05,=9943.6345,=14727.2500,=1207024939055.1201,=1033926300707,=623996733767.5029,=2.6924,=0.0640,=4.0671,=3.4903,=2.9324
2023-06-02,=9927.4389,=14698.4581,=1194330867122.9500,=1020317533892,=614688719194.6039,=2.6624,=0.0517,=4.0719,=3.4917,=2.9324
2023-06-01,=9515.6821,=14088.8155,=1140158636270.3701,=972425917313,=584918508742.3958,=2.5416,=0.0148,=4.0719,=3.4923,=2.9331
2023-05-31,=9608.9280,=14110.7435,=1160185552981.1602,=991733515539,=598397564787.1599,=2.4862,=0.0049,=4.0719,=3.4929,=2.9332
2023-05-30,=9763.7816,=14336.9935,=1180480417459.5601,=1009233607312,=608777504417.7026,=2.5295,=0.0111,=4.0719,=3.4931,=2.9373
2023-05-29,=9872.5693,=14476.0540,=1197271878149.2705,=1024407633700,=617829019341.1639,=2.5609,=0.0124,=4.0719,=3.4932,=2.9382
2023-05-26,=10017.3811,=14688.3901,=1214235113590.7800,=1038272008610,=626414155196.7592,=2.5972,=0.0297,=4.0731,=3.4933,=2.9382
2023-05-25,=10075.9843,=14746.0429,=1219124579420.9500,=1041184191384,=627033341613.6576,=2.5933,=0.0285,=4.0731,=3.4934,=2.9401
2023-05-24,=10043.0528,=14692.8405,=1214761210992.5498,=1038661900058,=624944681247.7749,=2.5823,=0.0224,=4.0731,=3.4937,=2.9434
2023-05-23,=10212.8625,=14941.2697,=1243224576181.9402,=1066028893891,=641603888102.8231,=2.6428,=0.0398,=4.0731,=3.4941,=2.9460
2023-05-22,=10323.1679,=15083.9083,=1255767868609.0002,=1077017802604,=648096194342.3165,=2.6651,=0.0448,=4.0731,=3.4950,=2.9474
2023-05-19,=10138.2113,=14813.6552,=1232755457984.5598,=1056869931238,=636861655359.0757,=2.6162,=0.0374,=4.0739,=3.4959,=2.9474
2023-05-18,=9947.1363,=14534.4621,=1211447882602.5601,=1037367788258,=626812524436.5819,=2.5710,=0.0162,=4.0739,=3.4963,=2.9504
2023-05-17,=9932.7196,=14513.3969,=1209442775618.8999,=1035330060813,=625443826915.7679,=2.5668,=0.0125,=4.0739,=3.4968,=2.9507
2023-05-16,=9943.8215,=14529.6186,=1212948089161.7102,=1038071233432,=627073537068.9189,=2.5742,=0.0150,=4.0739,=3.4971,=2.9520
2023-05-15,=10063.7934,=14704.9180,=1229031735984.8799,=1053256980248,=637120862213.0973,=2.6083,=0.0263,=4.0739,=3.4974,=2.9525
2023-05-12,=9945.5529,=14532.1485,=1215804942010.4702,=1043398131159,=630293105471.6908,=2.5803,=0.0176,=4.0748,=3.4990,=2.9525
2023-05-11,=9943.7543,=14529.5204,=1213277041535.5000,=1039884332481,=627932478806.4479,=2.5749,=0.0151,=4.0748,=3.5007,=2.9525
2023-05-10,=9987.3187,=14593.1755,=1218456655143.2903,=1045004138407,=631213523900.7549,=2.5859,=0.0189,=4.0748,=3.5011,=2.9535
2023-05-09,=9917.4136,=14491.0322,=1209745963085.8000,=1037177151874,=626616871850.5387,=2.5674,=0.0126,=4.0748,=3.5016,=2.9549
2023-05-08,=9993.1219,=14600.5963,=1217131741143.5898,=1042669566845,=629540396076.3817,=2.5828,=0.0151,=4.0748,=3.5024,=2.9556
2023-05-05,=10105.7244,=14765.1158,=1229503235511.7205,=1053281026375,=635866899723.7385,=2.6091,=0.0202,=4.0749,=3.5032,=2.9556
2023-05-04,=10334.4285,=15097.6583,=1257898957917.7903,=1076074347532,=649521603371.5100,=2.6684,=0.0316,=4.0749,=3.5040,=2.9580
2023-04-28,=10480.4289,=15310.9515,=1281507018028.6101,=1099961004632,=666582298464.5800,=2.8779,=0.1228,=4.0749,=3.5048,=2.9588
2023-04-27,=10528.8946,=15381.7554,=1283034767108.1597,=1102343030682,=667871885083.2300,=2.9176,=0.1648,=4.0749,=3.5057,=2.9591
2023-04-26,=10428.6878,=15235.3625,=1272081724378.6201,=1093059284405,=668030018478.9203,=2.8990,=0.1459,=4.0749,=3.5065,=2.9600
2023-04-25,=10474.4974,=15302.2862,=1281532718971.0498,=1105864609468,=675490362710.1901,=2.9293,=0.1690,=4.0776,=3.5066,=2.9600
2023-04-24,=10507.2572,=15350.1452,=1282388809025.4102,=1105328112439,=674948945703.8701,=2.9324,=0.1730,=4.0776,=3.5067,=2.9639
2023-04-21,=10630.8372,=15530.6843,=1293433720447.2200,=1112742308351,=677805533645.1801,=2.9580,=0.1936,=4.0776,=3.5081,=2.9671
2023-04-20,=10808.5948,=15790.3720,=1311673798961.7195,=1127868457671,=686180382916.4799,=3.0013,=0.2245,=4.0776,=3.5095,=2.9677
2023-04-19,=10684.0490,=15608.4220,=1291396013380.5205,=1106182045663,=672403524202.5201,=2.9549,=0.1916,=4.0776,=3.5103,=2.9677
2023-04-18,=10835.8881,=15830.2450,=1310896053482.1602,=1122543672533,=682181599202.7899,=2.9995,=0.2199,=4.0804,=3.5112,=2.9677
