日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PB市值加权,PB 分位点,PB 80%分位点值,PB 50%分位点值,PB 20%分位点值
2016-01-15,=2104.8000,=2745.4630,=1164570985003.1001,=740694294105,=362763749072.3592,=1.7931,=0,=2.6533,=2.2180,=2.0658
2016-01-14,=2188,=2853.9900,=1209024167050.2998,=771410050941,=377147389903.0921,=1.8615,=0.0118,=2.6533,=2.2196,=2.0700
2016-01-13,=2150.8300,=2805.5122,=1189000759843.5000,=759700956453,=370856490389.0589,=1.8307,=0.0040,=2.6533,=2.2201,=2.0708
2016-01-12,=2197.1900,=2865.9808,=1212642668616.1001,=775470711714,=378926611055.6853,=1.8671,=0.0119,=2.6537,=2.2205,=2.0708
2016-01-11,=2190.7600,=2857.5888,=1209426715513.6001,=774722961903,=377927041460.6319,=1.8621,=0.0080,=2.6537,=2.2207,=2.0733
2016-01-08,=2314.8900,=3019.5124,=1271533382552.7998,=815884542318,=399288682809.6981,=1.9578,=0.0600,=2.6537,=2.2209,=2.0755
2016-01-07,=2265.5800,=2955.1850,=1243963079304.3000,=791453433893,=390798043802.3750,=1.9153,=0.0241,=2.6537,=2.2225,=2.0763
2016-01-06,=2440.6100,=3183.4980,=1338950562743.2000,=851447743936,=420878998747.3275,=2.0616,=0.1734,=2.6537,=2.2242,=2.0768
2016-01-05,=2384.1100,=3109.7980,=1309259176934,=831132976391,=411123138460.2744,=2.0158,=0.1296,=2.6709,=2.2254,=2.0768
2016-01-04,=2384.7900,=3110.6871,=1307062992924.7000,=830966521214,=411257446766.2611,=2.0125,=0.1220,=2.6709,=2.2266,=2.0774
2015-12-31,=2562.7000,=3342.7407,=1247856190968.3000,=864078648445,=417353736802.2472,=2.0658,=0.1673,=2.6709,=2.2268,=2.0784
2015-12-30,=2581.6900,=3367.5138,=1255559437439.3999,=866905002780,=420340493707.7737,=2.0785,=0.2008,=2.6709,=2.2269,=2.0785
2015-12-29,=2580.7900,=3366.3469,=1256010593666.5002,=867109935383,=420345925383.5670,=2.0793,=0.2016,=2.6709,=2.2284,=2.0793
2015-12-28,=2568.5600,=3350.3960,=1250867877981.6001,=862900975735,=418224304081.3936,=2.0708,=0.1736,=2.6722,=2.2299,=2.0784
