日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PB市值加权,PB 分位点,PB 80%分位点值,PB 50%分位点值,PB 20%分位点值
2015-09-07,=2749.9400,=3586.4817,=1289729815304.7002,=930188942015,=445901176565.5200,=2.2916,=0.4072,=2.7874,=2.4445,=2.0310
2015-09-02,=2816.7000,=3673.5544,=1330644716811,=956297248389,=457077689769.4200,=2.3643,=0.4639,=2.7874,=2.4473,=2.0310
2015-09-01,=2802.4500,=3654.9655,=1308749247028.2998,=943468213771,=454392951951.7100,=2.3254,=0.4424,=2.7874,=2.4578,=2.0310
2015-08-31,=2821.9700,=3680.4244,=1306511003325.3000,=945449179241,=457353699876.1900,=2.3214,=0.4390,=2.7874,=2.4682,=2.0310
2015-08-28,=2814.4500,=3670.6137,=1295882007445.5000,=940876879349,=455685881431.1560,=2.3129,=0.4356,=2.7874,=2.4765,=2.0310
2015-08-27,=2686.1700,=3503.3109,=1235103870445.1001,=897257305950,=434946181001.4440,=2.2121,=0.3519,=2.7912,=2.4848,=2.0189
2015-08-26,=2600.7500,=3391.9071,=1189482881319.6001,=864388308698,=420893467528.7940,=2.1304,=0.2857,=2.7912,=2.4881,=2.0189
2015-08-25,=2664.7700,=3475.3992,=1223612250929.8999,=885701223592,=430098179085.4760,=2.1890,=0.3063,=2.7912,=2.4914,=2.0189
2015-08-24,=2836.1800,=3698.9589,=1309560614387.2002,=946527758390,=457812858260.5840,=2.3494,=0.4340,=2.7912,=2.4968,=2.0189
2015-08-21,=3036.1400,=3959.7513,=1408816826508.8000,=1017811761126,=490440834386.0880,=2.5356,=0.5316,=2.7912,=2.5023,=2.0189
2015-08-20,=3154.5700,=4111.9955,=1463889876174.2998,=1058111178434,=509778815898.6420,=2.6480,=0.6688,=2.7974,=2.4968,=2.0167
2015-08-19,=3252.7100,=4239.9311,=1508257186643.6001,=1092611442385,=509232699065.4017,=2.7912,=0.7949,=2.7974,=2.4914,=2.0167
2015-08-18,=3185.5100,=4152.3315,=1481816368187.3999,=1072322982201,=498648522095.2739,=2.7422,=0.7548,=2.7974,=2.4881,=2.0167
2015-08-17,=3433.2900,=4475.3192,=1600738013233,=1157774275661,=537108168212.2990,=2.9623,=0.8571,=2.7974,=2.4848,=2.0167
2015-08-14,=3351.0400,=4368.0994,=1566494209118.3999,=1131952969956,=524448652633.0278,=2.8975,=0.8497,=2.7874,=2.4765,=2.0167
2015-08-13,=3316.8300,=4323.5126,=1553169794231.2000,=1124012057519,=519528283773.8076,=2.8729,=0.8487,=2.7874,=2.4682,=2.0126
2015-08-12,=3202.5600,=4174.5581,=1499351619989.3999,=1088127717206,=502818975369.5767,=2.7733,=0.7881,=2.7848,=2.4578,=2.0126
2015-08-11,=3214.2300,=4189.7720,=1506339047759,=1092697036375,=504464161588.2842,=2.7874,=0.8067,=2.7848,=2.4473,=2.0126
