日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PB市值加权,PB 分位点,PB 80%分位点值,PB 50%分位点值,PB 20%分位点值
2023-04-11,=1013.6100,=1290.6300,=918346016356.2004,=800916760680,=369515415933.2901,=1.0093,=0.2225,=1.5630,=1.2475,=0.9991
2023-04-10,=1004.7400,=1279.3400,=910213507546.3802,=794024476335,=366229108922.4401,=1.0007,=0.2032,=1.5630,=1.2478,=0.9991
2023-04-07,=1009.0100,=1284.7800,=914584858126.5800,=797818747977,=367821597526.7900,=1.0055,=0.2130,=1.5630,=1.2483,=0.9991
2023-04-06,=1007.0200,=1282.2400,=911818804041.5500,=795731738893,=367065498843.6101,=1.0024,=0.2054,=1.5632,=1.2488,=0.9989
2023-04-04,=1007.7300,=1283.1500,=912687035013.1700,=797528308869,=367256979432.8200,=1.0035,=0.2076,=1.5632,=1.2490,=0.9989
2023-04-03,=1004.6600,=1279.2400,=908677914633.0198,=793036919459,=365850726125.4101,=0.9991,=0.2005,=1.5632,=1.2492,=0.9989
2023-03-31,=1002.9300,=1277.0300,=906613181156.3199,=791569698083,=365129617675.1801,=0.9968,=0.1924,=1.5632,=1.2492,=0.9989
2023-03-30,=994.1300,=1265.8300,=900357784563.0499,=786318768880,=362570115176.5500,=0.9876,=0.1740,=1.5632,=1.2493,=0.9992
2023-03-29,=989.1200,=1259.4500,=895359453792.8799,=781655469135,=360534676768.1601,=0.9811,=0.1628,=1.5632,=1.2496,=0.9992
2023-03-28,=993.4600,=1264.9700,=900574605389.6899,=786346721232,=362230086097.7600,=0.9869,=0.1716,=1.5632,=1.2499,=0.9997
2023-03-27,=998.7100,=1271.6700,=905629713250.4500,=790707522939,=364218937793.6100,=0.9924,=0.1820,=1.5632,=1.2499,=0.9999
2023-03-24,=1012.2900,=1288.9600,=916678918625.4900,=800396417353,=369149683197.8701,=1.0045,=0.2114,=1.5632,=1.2500,=1.0001
2023-03-23,=1018.0600,=1296.3000,=921596079700.9496,=804474781537,=371217792028.3801,=1.0113,=0.2218,=1.5632,=1.2501,=1.0001
2023-03-22,=1022.6400,=1302.1300,=925416391719.4102,=807427145780,=372915091011.3300,=1.0155,=0.2266,=1.5642,=1.2501,=0.9999
2023-03-21,=1024.9700,=1305.1000,=927380906048.7000,=809061691379,=373712213936.3501,=1.0177,=0.2293,=1.5642,=1.2502,=0.9999
2023-03-20,=1027.7000,=1308.5700,=930373883490.4200,=812902598394,=375047966162.1799,=1.0238,=0.2423,=1.5642,=1.2502,=0.9999
2023-03-17,=1049.6500,=1336.5200,=947951870532.9802,=829391325401,=382781093659.2000,=1.0453,=0.2919,=1.5642,=1.2502,=0.9999
2023-03-16,=1044.6800,=1330.1900,=943544073916.5900,=825301795551,=380824889106.1000,=1.0404,=0.2812,=1.5642,=1.2502,=0.9999
2023-03-15,=1073.2300,=1366.5500,=968622226723.0302,=846815846937,=391226854831.4201,=1.0681,=0.3247,=1.5645,=1.2506,=0.9997
2023-03-14,=1055.7400,=1344.2800,=952424464391,=832253001403,=384768529386.0801,=1.0502,=0.2991,=1.5645,=1.2510,=0.9997
2023-03-13,=1062.2700,=1352.5900,=958439459982.4000,=837701973955,=387116414651.5299,=1.0568,=0.3090,=1.5645,=1.2511,=0.9997
2023-03-10,=1056.0800,=1344.7100,=953228533408.9700,=832654315651,=384841916629.1301,=1.0511,=0.3004,=1.5645,=1.2512,=0.9997
2023-03-09,=1079.2800,=1374.2400,=974228120610.7000,=851145648180,=393473231140.4599,=1.0743,=0.3270,=1.5645,=1.2514,=0.9997
2023-03-08,=1080.5700,=1375.8900,=975301197494.7600,=852246119100,=394195091249.5598,=1.0754,=0.3271,=1.5647,=1.2515,=0.9992
