日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PB市值加权,PB 分位点,PB 80%分位点值,PB 50%分位点值,PB 20%分位点值
2022-11-18,=1007.1254,=1282.0800,=890049287233.6899,=767890511075,=364020581788.3700,=0.9854,=0.1688,=1.5712,=1.2722,=1.0045
2022-11-17,=1014.9993,=1292.1100,=896309913981.3800,=773059015943,=366771182952.3600,=0.9923,=0.1781,=1.5712,=1.2723,=1.0046
2022-11-16,=1019.8372,=1298.2700,=900540421493.8601,=776190397406,=368647322531.1701,=0.9970,=0.1868,=1.5712,=1.2723,=1.0048
2022-11-15,=1026.6460,=1306.9300,=905357223269.6000,=780575292246,=371028967981.3001,=1.0023,=0.1949,=1.5715,=1.2727,=1.0048
2022-11-14,=1017.7015,=1295.5500,=896277256126,=772068620847,=367647959999.0700,=0.9922,=0.1778,=1.5715,=1.2731,=1.0053
2022-11-11,=1029.6131,=1310.7100,=905296562367.6000,=778718613445,=371886996035.2197,=1.0022,=0.1941,=1.5715,=1.2733,=1.0053
2022-11-10,=1021.8321,=1300.8100,=898959247629.6898,=770935317325,=369301557873.0700,=0.9952,=0.1834,=1.5715,=1.2734,=1.0055
2022-11-09,=1019.0285,=1297.2400,=896725878195.1702,=768551025500,=368392649425.2002,=0.9927,=0.1792,=1.5715,=1.2737,=1.0058
2022-11-08,=1015.1944,=1292.3600,=891640537853.6400,=765212200194,=366778675547.6300,=0.9871,=0.1706,=1.5720,=1.2739,=1.0058
2022-11-07,=1009.4212,=1285.0100,=886660163914.1099,=761797846888,=364605973563.6800,=0.9816,=0.1653,=1.5720,=1.2744,=1.0061
2022-11-04,=999.8446,=1272.8100,=874714809597.3600,=752700704543,=360873900459.2400,=0.9684,=0.1492,=1.5720,=1.2749,=1.0062
2022-11-03,=973.6544,=1239.4700,=849913618306.2800,=732782809113,=351098268946.8700,=0.9409,=0.1033,=1.5720,=1.2751,=1.0063
2022-11-02,=967.2931,=1231.3800,=845417294531.1499,=730021788789,=348771121479.5701,=0.9359,=0.0898,=1.5720,=1.2753,=1.0064
2022-11-01,=962.2605,=1224.9700,=841031083770.8600,=727670784561,=346993226892.7300,=0.9311,=0.0839,=1.5722,=1.2754,=1.0064
2022-10-31,=942.3954,=1199.6800,=823007745745.1699,=712979878649,=339743972832.5201,=0.9111,=0.0520,=1.5722,=1.2754,=1.0066
2022-10-28,=941.3961,=1198.4100,=826510165380.6500,=715993881029,=339980865930.8501,=0.9135,=0.0558,=1.5722,=1.2755,=1.0079
2022-10-27,=982.6371,=1250.9100,=862098624545.8802,=746502013556,=354634861962.8400,=0.9507,=0.1171,=1.5722,=1.2755,=1.0084
2022-10-26,=987.0610,=1256.5400,=864886729251.1702,=748184186218,=355953378230.1201,=0.9520,=0.1210,=1.5722,=1.2756,=1.0088
2022-10-25,=985.1906,=1254.1600,=863776242713.9401,=748572470975,=355127395160.5800,=0.9551,=0.1249,=1.5726,=1.2757,=1.0088
2022-10-24,=980.8253,=1248.6000,=862450699615.7101,=747028117177,=353882262652.3302,=0.9519,=0.1206,=1.5726,=1.2759,=1.0089
2022-10-21,=982.2369,=1250.4000,=866186318517.0900,=750548483577,=354559446031.0400,=0.9567,=0.1266,=1.5726,=1.2760,=1.0097
2022-10-20,=979.0338,=1246.3200,=864299733125.7600,=748045019765,=353531352248.4200,=0.9547,=0.1240,=1.5726,=1.2764,=1.0098
2022-10-19,=985.3636,=1254.3800,=868376555180.6799,=752502160186,=355642143402.5200,=0.9592,=0.1306,=1.5726,=1.2767,=1.0108
2022-10-18,=995.7229,=1267.5700,=875717401073.1399,=760237035628,=359123244692.5700,=0.9673,=0.1421,=1.5730,=1.2770,=1.0108
2022-10-17,=999.3464,=1272.1800,=881249306828.5695,=765064339543,=360605358143.7500,=0.9734,=0.1487,=1.5730,=1.2773,=1.0112
2022-10-14,=987.5308,=1257.1400,=872824647024.7899,=757559490224,=356477453239.5301,=0.9641,=0.1379,=1.5730,=1.2773,=1.0117
