日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PB市值加权,PB 分位点,PB 80%分位点值,PB 50%分位点值,PB 20%分位点值
2016-05-16,=1351.9630,=1495.4900,=729066959334.8000,=553022167328,=154161397691.7537,=1.1290,=0.1486,=1.4976,=1.2511,=1.1470
2016-05-13,=1344.0390,=1486.7200,=725063747097.9000,=550783723484,=153224435572.4760,=1.1228,=0.1222,=1.4976,=1.2515,=1.1491
2016-05-12,=1352.1970,=1495.7500,=727898537373.6000,=552724313005,=154121781591.3025,=1.1272,=0.1409,=1.4976,=1.2520,=1.1496
2016-05-11,=1353.4520,=1497.0400,=726031458173.8000,=551979927235,=154233235485.1700,=1.1242,=0.1233,=1.4976,=1.2534,=1.1530
2016-05-10,=1353.8950,=1497.5300,=723631914619.2001,=549844791344,=154236642118.8300,=1.1205,=0.1193,=1.4976,=1.2549,=1.1538
2016-05-09,=1356.1050,=1499.9800,=723511334761.6000,=550575609720,=154510209813.3000,=1.1203,=0.1060,=1.4998,=1.2549,=1.1538
2016-05-06,=1438.8050,=1591.4500,=763759351599.8000,=582025416014,=163647824239.2400,=1.1826,=0.2731,=1.4998,=1.2550,=1.1627
2016-05-05,=1509.5310,=1669.6800,=796420617149.2000,=606065232234,=171387743932.2600,=1.2332,=0.4047,=1.4998,=1.2553,=1.1627
2016-05-04,=1503.7440,=1663.2800,=793577080748.9999,=603902539997,=170664331959.4900,=1.2288,=0.3832,=1.4998,=1.2557,=1.1627
2016-05-03,=1526.2390,=1688.1600,=803600708760.3000,=612376512106,=173114973014.3600,=1.2443,=0.4366,=1.4998,=1.2563,=1.1627
2016-04-29,=1513.3860,=1673.9400,=798630460437,=609156711269,=166159945550.9800,=1.2373,=0.4340,=1.5021,=1.2568,=1.1538
2016-04-28,=1509.0580,=1669.1600,=792776625262.7999,=604174255238,=165429383434.1800,=1.2310,=0.3934,=1.5021,=1.2586,=1.1538
2016-04-27,=1496.7200,=1655.5100,=785142188509.5999,=600358454945,=164195509889.9600,=1.2162,=0.3286,=1.5021,=1.2603,=1.1538
2016-04-26,=1535.7360,=1698.6700,=804424142961.5000,=614924486307,=168463396456.4900,=1.2459,=0.4354,=1.5021,=1.2604,=1.1538
2016-04-25,=1540.0430,=1703.4300,=808103861608.9000,=616642094967,=168925964428.1000,=1.2473,=0.4471,=1.5021,=1.2605,=1.1538
2016-04-22,=1512.5580,=1673.0300,=796605354402.2000,=607792008609,=166166519576.7600,=1.2258,=0.3720,=1.5037,=1.2606,=1.1530
2016-04-21,=1518.4200,=1679.5100,=802517905385.6001,=611435621523,=166476070677.7300,=1.2350,=0.4223,=1.5037,=1.2607,=1.1530
2016-04-20,=1490.8960,=1649.0700,=792354933882.7999,=603729396191,=163624078037.1200,=1.2194,=0.3463,=1.5037,=1.2612,=1.1530
2016-04-19,=1528.5220,=1690.6900,=811859474825.5000,=617604394248,=167639351884.4600,=1.2494,=0.4461,=1.5037,=1.2617,=1.1530
2016-04-18,=1541.0080,=1704.5000,=820244490298.7999,=622720375500,=169069398550.4700,=1.2617,=0.4975,=1.5037,=1.2630,=1.1530
2016-04-15,=1534.4440,=1697.2400,=815808350247,=623575419099,=168570146201.4900,=1.2549,=0.4653,=1.5087,=1.2644,=1.1496
2016-04-14,=1536.1010,=1699.0700,=820029408156.3000,=627452436003,=168959223178.6400,=1.2607,=0.4925,=1.5087,=1.2656,=1.1496
2016-04-13,=1540.4920,=1703.9300,=823935652900.7999,=631066775877,=169473070401.4400,=1.2667,=0.5000,=1.5087,=1.2667,=1.1496
2016-04-12,=1494.0990,=1652.6100,=796682763795.1000,=611074165246,=164349450072.6500,=1.2248,=0.3769,=1.5087,=1.2657,=1.1496
2016-04-11,=1466.1640,=1621.7100,=776352650280.1000,=595502692056,=160996439909.6301,=1.1938,=0.3232,=1.5087,=1.2670,=1.1496
2016-04-08,=1435.6910,=1588.0100,=758375137406.7999,=581835437482,=157598566200.7300,=1.1634,=0.2335,=1.5235,=1.2680,=1.1491
2016-04-07,=1435.3270,=1587.6000,=758371598211.6000,=582284797326,=157594641059.0300,=1.1634,=0.2296,=1.5235,=1.2690,=1.1491
2016-04-06,=1441.0790,=1593.9700,=762944457894.9001,=585063983490,=158271149201.6000,=1.1704,=0.2615,=1.5235,=1.2703,=1.1491
2016-04-05,=1448.3650,=1602.0300,=767586527026.1000,=588310104721,=159068264200.4800,=1.1775,=0.2680,=1.5235,=1.2716,=1.1491
