日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PB市值加权,PB 分位点,PB 80%分位点值,PB 50%分位点值,PB 20%分位点值
2022-01-27,=4581.0956,=4978.0300,=2553135487535.7100,=2052516506059,=1394890497161.8701,=5.4072,=0.8015,=5.3983,=3.0704,=1.9354
2022-01-26,=4774.3239,=5188,=2658787576141.2290,=2135295223225,=1453844766323.4102,=5.6309,=0.8279,=5.3754,=3.0682,=1.9354
2022-01-25,=4664.0336,=5068.1500,=2594432096611.6396,=2081148232353,=1417585197486.8696,=5.4946,=0.8113,=5.3717,=3.0650,=1.9354
2022-01-24,=4798.2511,=5214,=2666089594515.1797,=2142663451016,=1458334981438.1802,=5.6464,=0.8304,=5.3717,=3.0618,=1.9351
2022-01-21,=4650.6642,=5053.6200,=2581742634268.8799,=2083167386859,=1417406731158.7200,=5.4678,=0.8092,=5.3169,=3.0617,=1.9351
2022-01-20,=4652.3248,=5055.4300,=2585930336832.6704,=2092330158648,=1423239249719.3000,=5.4766,=0.8104,=5.2914,=3.0615,=1.9351
2022-01-19,=4712.7083,=5121.0400,=2619711228729.0503,=2118819254956,=1440450973984.6399,=5.5482,=0.8221,=5.2454,=3.0581,=1.9351
2022-01-18,=4808.9739,=5225.6500,=2673100475442.2300,=2154484723483,=1468814821616.4399,=5.6613,=0.8308,=5.1396,=3.0547,=1.9351
2022-01-17,=4812.9247,=5229.9400,=2678250649784.3506,=2161781678221,=1473749308597.6404,=5.6722,=0.8321,=5.1396,=3.0541,=1.9329
2022-01-14,=4758.0360,=5170.3000,=2647011267297.1401,=2131954831877,=1455810541616.3594,=5.6062,=0.8273,=5.1296,=3.0536,=1.9329
2022-01-13,=4707.9028,=5115.8200,=2614044472234.6299,=2110734036076,=1443044188149.1299,=5.5364,=0.8256,=5.0899,=3.0510,=1.9329
2022-01-12,=4787.2069,=5202,=2656643988261.6499,=2143742145782,=1466774476472.9502,=5.6266,=0.8298,=5.0457,=3.0485,=1.9329
2022-01-11,=4634.5941,=5036.1600,=2572551184035.1597,=2075257051478,=1420866171529.8501,=5.4485,=0.8160,=5.0315,=3.0445,=1.9329
2022-01-10,=4713.3803,=5121.7700,=2619974711468.0898,=2112229762306,=1446192075066.7002,=5.5496,=0.8278,=5.0315,=3.0404,=1.9328
2022-01-07,=4772.9705,=5186.5300,=2653141984200.1396,=2137497410069,=1463755396944.7402,=5.6199,=0.8290,=5.0289,=3.0347,=1.9328
2022-01-06,=4872.4926,=5294.6700,=2709534694650.7202,=2178332917037,=1490691310714.0002,=5.7393,=0.8394,=5.0025,=3.0289,=1.9328
2022-01-05,=4866.9290,=5288.6300,=2703070045816.6592,=2178651611289,=1491012116847.5000,=5.7256,=0.8346,=4.8443,=3.0271,=1.9328
2022-01-04,=5050.0029,=5487.5600,=2808483962749.5000,=2258471792488,=1547640030559.8301,=5.9489,=0.8784,=4.7520,=3.0252,=1.9328
2021-12-31,=5302.9028,=5762.3800,=2951028196201.8198,=2363638577372,=1619449043217.5205,=6.2508,=0.9406,=4.7520,=3.0244,=1.9325
2021-12-30,=5120.1537,=5563.7900,=2840731447534.0396,=2272914540219,=1557576168701.2302,=6.0175,=0.9024,=4.7170,=3.0235,=1.9325
2021-12-29,=5110.5203,=5553.3300,=2836173292796.3301,=2270777235395,=1556493767770.6003,=6.0078,=0.9008,=4.6984,=3.0155,=1.9325
2021-12-28,=5101.7463,=5543.7900,=2825765107345.1499,=2263935573944,=1553227856845.6497,=5.9858,=0.8930,=4.6167,=3.0074,=1.9325
2021-12-27,=4990.8189,=5423.2500,=2761690070262.7798,=2181056081796,=1514943236352.1997,=5.8500,=0.8622,=4.5806,=3.0060,=1.9325
2021-12-24,=5043.8433,=5480.8700,=2787626603221.3203,=2204293514458,=1528264811554.3601,=5.9050,=0.8696,=4.5806,=3.0045,=1.9325
2021-12-23,=5242.7983,=5697.0600,=2890650192414.8799,=2287147177502,=1586985328951.3999,=6.1237,=0.9232,=4.5572,=3.0020,=1.9325
2021-12-22,=5154.8543,=5601.5000,=2837449566125.0996,=2255441838920,=1564661905792.2002,=6.0119,=0.9031,=4.5570,=2.9995,=1.9325
2021-12-21,=5164.4541,=5611.9300,=2842811265740.1504,=2242899902435,=1569763221741.2800,=6.0592,=0.9122,=4.5402,=2.9969,=1.9325
2021-12-20,=5140.4039,=5585.8000,=2830900448418.9795,=2232843176755,=1562241136203.6201,=6.0338,=0.9105,=4.5228,=2.9944,=1.9325
2021-12-17,=5390.5721,=5857.6400,=2973424766350.7500,=2331862863757,=1631196019708.0798,=6.3376,=0.9521,=4.5228,=2.9944,=1.9324
2021-12-16,=5582.5578,=6066.1800,=3079642673575.6309,=2416262496389,=1691140768118.6702,=6.5633,=0.9938,=4.5063,=2.9944,=1.9324
2021-12-15,=5530.0399,=6009.1100,=3049685012793.4102,=2396970114232,=1675910767795.6304,=6.4994,=0.9845,=4.5051,=2.9943,=1.9324
2021-12-14,=5501.9819,=5978.6200,=3040131881015.2900,=2392202727083,=1671413288650.2500,=6.4791,=0.9798,=4.4542,=2.9942,=1.9324
2021-12-13,=5545.0474,=6025.4200,=3069521629256.9092,=2411760268507,=1685358042300.1001,=6.5417,=0.9907,=4.4456,=2.9924,=1.9324
2021-12-10,=5508.1103,=5985.2800,=2740368400359.6602,=2238296419298,=1543090151520.1299,=5.9384,=0.8941,=4.4456,=2.9906,=1.9308
2021-12-09,=5406.8990,=5875.3000,=2679164422688.0205,=2187262230410,=1512716605470.2002,=5.8058,=0.8658,=4.4346,=2.9853,=1.9308
2021-12-08,=5439.1472,=5910.3500,=2691400052050.0005,=2194222144494,=1518223141709.1597,=5.8323,=0.8750,=4.4295,=2.9800,=1.9308
2021-12-07,=5356.0945,=5820.1000,=2648370080846.4702,=2160686021973,=1498160907478.1897,=5.7390,=0.8638,=4.4240,=2.9799,=1.9308
2021-12-06,=5359.0920,=5823.3600,=2637281023206.9805,=2155662869638,=1491962106067.2002,=5.7150,=0.8605,=4.4110,=2.9798,=1.9308
2021-12-03,=5377.5315,=5843.3900,=2644404357951.3105,=2162301299307,=1497975899005.1702,=5.7304,=0.8634,=4.4110,=2.9747,=1.9300
2021-12-02,=5376.6442,=5842.4300,=2643580305284.4097,=2167561552384,=1500883285734.0305,=5.7287,=0.8632,=4.3674,=2.9696,=1.9300
2021-12-01,=5458.2620,=5931.1200,=2680323715938.2104,=2196109340056,=1522624928050.5198,=5.8083,=0.8693,=4.3442,=2.9556,=1.9300
2021-11-30,=5523.6714,=6002.1900,=2720411266318.0200,=2228692641211,=1547997741324.5098,=5.8951,=0.8801,=4.3381,=2.9416,=1.9300
2021-11-29,=5509.2633,=5986.5400,=2718219841777.6094,=2225999464280,=1546206805546.3503,=5.8904,=0.8784,=4.3379,=2.9405,=1.9300
2021-11-26,=5445.6879,=5917.4500,=2690752091148.6099,=2193047690854,=1530216993548.8896,=5.8309,=0.8766,=4.3379,=2.9394,=1.9298
2021-11-25,=5415.9450,=5885.1300,=2673052748549.4004,=2181540279480,=1523027459970.6899,=5.7925,=0.8716,=4.3346,=2.9331,=1.9298
2021-11-24,=5502.2877,=5978.9600,=2727069073243.8403,=2228300576826,=1554192939999.0095,=5.9096,=0.8841,=4.3282,=2.9269,=1.9298
2021-11-23,=5649.3405,=6138.7500,=2803192027908.2500,=2290778436602,=1594718101738.7800,=6.0745,=0.9221,=4.3178,=2.9202,=1.9298
2021-11-22,=5701.7056,=6195.6500,=2831611497078.5811,=2308106226445,=1605165890625.2502,=6.1361,=0.9331,=4.3059,=2.9136,=1.9298
2021-11-19,=5585.4699,=6069.3500,=2781037244231.0605,=2267748046427,=1576897926855.2302,=6.0265,=0.9171,=4.3059,=2.9123,=1.9297
2021-11-18,=5486.6967,=5962.0200,=2725283412554.5703,=2227404474852,=1546222626549.4602,=5.9062,=0.8882,=4.3041,=2.9109,=1.9297
2021-11-17,=5543.8843,=6024.1600,=2751680717873.5898,=2253309158152,=1563268232601.7903,=5.9634,=0.9008,=4.3028,=2.9105,=1.9297
2021-11-16,=5393.3756,=5860.6100,=2680833186410.5498,=2197316192328,=1523713859839.8799,=5.8099,=0.8830,=4.2954,=2.9101,=1.9297
2021-11-15,=5482.1662,=5957.0900,=2726853210164.1699,=2237033761552,=1551379537059.7805,=5.9096,=0.8909,=4.2921,=2.8994,=1.9297
2021-11-12,=5685.6612,=6178.2200,=2826773910673.1094,=2317338916465,=1606492286744.2395,=6.1262,=0.9309,=4.2921,=2.8887,=1.9296
2021-11-11,=5580.9950,=6064.4800,=2780479532648.9502,=2283346215130,=1585339615329.6201,=6.0259,=0.9179,=4.2597,=2.8785,=1.9296
2021-11-10,=5570.8198,=6053.4300,=2770270839578.7192,=2275036115829,=1580343429344.0803,=6.0037,=0.9161,=4.2574,=2.8682,=1.9296
2021-11-09,=5628.5048,=6116.1100,=2788078871180.8188,=2286978454866,=1589724455330.1702,=6.0423,=0.9208,=4.2472,=2.8597,=1.9296
2021-11-08,=5566.3789,=6048.6000,=2764534813034.6401,=2253093414086,=1572127662948.4202,=5.9913,=0.9159,=4.2380,=2.8513,=1.9296
