日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PB市值加权,PB 分位点,PB 80%分位点值,PB 50%分位点值,PB 20%分位点值
2022-03-10,=8289.5884,=10378.9200,=1816981939475.7100,=1419677767760,=744985396937.8500,=1.1401,=0.1798,=1.9687,=1.3952,=1.1497
2022-03-09,=8192.6348,=10257.5300,=1798018193189.1804,=1404433185783,=736177756448.1700,=1.1282,=0.1657,=1.9687,=1.3958,=1.1499
2022-03-08,=8293.1562,=10383.3900,=1820619891385.9900,=1422009613692,=746139526964.3301,=1.1424,=0.1853,=1.9687,=1.3960,=1.1499
2022-03-07,=8510.7132,=10655.7800,=1868090481180.5210,=1459638250101,=765918420468.9799,=1.1722,=0.2429,=1.9687,=1.3961,=1.1501
2022-03-04,=8568.9138,=10728.6500,=1875862349575.5095,=1459764839824,=773550577375.4299,=1.1770,=0.2525,=1.9697,=1.3973,=1.1499
2022-03-03,=8721.5545,=10919.7600,=1907682349342.7900,=1491532579676,=787668795417.4602,=1.2026,=0.3025,=1.9697,=1.3984,=1.1499
2022-03-02,=8660.7112,=10843.5800,=1891568292248.9700,=1479163321943,=782763572862.8700,=1.1924,=0.2801,=1.9697,=1.3988,=1.1499
2022-03-01,=8686.3607,=10875.7000,=1896858264127.4600,=1483337441644,=785465251134.8998,=1.1958,=0.2880,=1.9697,=1.3992,=1.1499
2022-02-28,=8583.2342,=10746.5800,=1872723680927.9199,=1465357532149,=776918007333,=1.1806,=0.2573,=1.9697,=1.4012,=1.1499
2022-02-25,=8610.1337,=10780.2600,=1877557687371.7000,=1469770521028,=780442794212.4598,=1.1837,=0.2640,=1.9701,=1.4033,=1.1499
2022-02-24,=8615.1168,=10786.5000,=1882724852970.2200,=1473809341148,=780511642480.4998,=1.1869,=0.2671,=1.9701,=1.4034,=1.1499
2022-02-23,=8878.3860,=11116.1200,=1940901852919.5305,=1518402201653,=803875774716.4901,=1.2236,=0.3304,=1.9701,=1.4036,=1.1499
2022-02-22,=8845.4027,=11074.8200,=1934898067054.9297,=1514192819952,=800130904366.7100,=1.2203,=0.3246,=1.9701,=1.4036,=1.1499
2022-02-21,=9047.7888,=11328.2200,=1980960706169.6699,=1549265346005,=817955790832.0302,=1.2494,=0.3707,=1.9701,=1.4037,=1.1499
2022-02-18,=9088.6121,=11379.3300,=1989719069891.1704,=1556760139709,=821701013598.3499,=1.2549,=0.3828,=1.9712,=1.4052,=1.1497
2022-02-17,=8963.6064,=11222.8200,=1960817278855.2300,=1535380111921,=810969768009.8798,=1.2373,=0.3484,=1.9712,=1.4067,=1.1497
2022-02-16,=9028.2784,=11303.7900,=1974364927908.1704,=1544528551808,=816497952939.7999,=1.2458,=0.3624,=1.9712,=1.4070,=1.1497
2022-02-15,=8882.7184,=11121.5500,=1940413885252.4199,=1518546720781,=804226728695.5801,=1.2244,=0.3315,=1.9712,=1.4073,=1.1497
2022-02-14,=8822.5763,=11046.2500,=1931005414275.0891,=1509277521102,=798088361401.3896,=1.2185,=0.3228,=1.9712,=1.4076,=1.1497
2022-02-11,=8944.3183,=11198.6700,=1958250143865.9397,=1530021024858,=809293327456.9900,=1.2357,=0.3445,=1.9712,=1.4079,=1.1497
2022-02-10,=9094.4433,=11386.6300,=1990535366238.4304,=1554071834494,=822831011352.7200,=1.2560,=0.3836,=1.9712,=1.4081,=1.1497
2022-02-09,=9017.8482,=11290.7300,=1968590166295.1396,=1539179495606,=816667562836.0901,=1.2422,=0.3557,=1.9712,=1.4083,=1.1497
2022-02-08,=9044.7466,=11324.4100,=1975217184677.4900,=1544149859945,=819021879727.0098,=1.2464,=0.3625,=1.9712,=1.4090,=1.1497
2022-02-07,=8897.2357,=11139.7200,=1940563271247.7305,=1517036134728,=805382685180.1101,=1.2245,=0.3321,=1.9712,=1.4097,=1.1497
2022-01-28,=8471.5897,=10606.7900,=1842254747973.1599,=1441921081290,=768231228891.9698,=1.1625,=0.2262,=1.9714,=1.4097,=1.1492
2022-01-27,=8575.4266,=10736.8000,=1868683974440.1101,=1463515447738,=778178407331.3999,=1.1792,=0.2581,=1.9714,=1.4098,=1.1492
2022-01-26,=8716.3796,=10913.2800,=1895736024265.1201,=1488567629034,=793871679780.5499,=1.1962,=0.2889,=1.9714,=1.4101,=1.1492
2022-01-25,=8587.3373,=10751.7200,=1867830174192.1101,=1466820526229,=782502630977.2898,=1.1786,=0.2578,=1.9714,=1.4103,=1.1492
2022-01-24,=8916.5670,=11163.9300,=1938196667660.8701,=1523208218235,=812936866682.9199,=1.2230,=0.3283,=1.9714,=1.4106,=1.1492
2022-01-21,=8907.3057,=11152.3300,=1932016480540.9197,=1519007631172,=813353939538.7898,=1.2191,=0.3231,=1.9719,=1.4108,=1.1489
2022-01-20,=9108.5979,=11404.3600,=1977727998697.9500,=1554693537961,=833065217265.2301,=1.2480,=0.3630,=1.9719,=1.4109,=1.1489
2022-01-19,=9104.1886,=11398.8400,=1973019367624.6001,=1553943298133,=833491355032.9402,=1.2459,=0.3590,=1.9719,=1.4110,=1.1489
2022-01-18,=9034.9091,=11312.0900,=1956933182292.8401,=1538985605738,=825515386465.1299,=1.2358,=0.3442,=1.9719,=1.4118,=1.1489
2022-01-17,=8786.9926,=11001.6900,=1895576134310.6504,=1493645967493,=805128926699.6801,=1.1970,=0.2901,=1.9719,=1.4126,=1.1489
2022-01-14,=8728.1820,=10928.0600,=1884884518626.1399,=1485280532723,=799916893306.1199,=1.1903,=0.2758,=1.9724,=1.4131,=1.1489
2022-01-13,=8918.0624,=11165.8000,=1928334145603.6396,=1519504158969,=816983318551.4100,=1.2177,=0.3219,=1.9724,=1.4136,=1.1489
2022-01-12,=9054.7975,=11337,=1958457946585.3989,=1543021154524,=829992585005.5498,=1.2367,=0.3438,=1.9724,=1.4136,=1.1489
2022-01-11,=9090.8278,=11382.1100,=1968031725518.3401,=1550452825498,=832896289745.3102,=1.2428,=0.3525,=1.9724,=1.4136,=1.1489
2022-01-10,=9200.8356,=11519.8400,=1992115208044.3196,=1570000982328,=843269570819.9999,=1.2580,=0.3811,=1.9724,=1.4138,=1.1489
2022-01-07,=9188.4757,=11504.3700,=1987007462107.3999,=1565801601386,=842313417306.6898,=1.2547,=0.3735,=1.9730,=1.4140,=1.1485
2022-01-06,=9083.2994,=11372.6800,=1963505309896.1001,=1545800694072,=830889930660.6600,=1.2399,=0.3489,=1.9730,=1.4142,=1.1485
