日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PB市值加权,PB 分位点,PB 80%分位点值,PB 50%分位点值,PB 20%分位点值
2023-04-06,=2971.6800,=3341.6700,=983361764125.6498,=799367424860,=528445408142.2001,=3.4520,=0.3705,=4.5190,=3.7076,=3.2036
2023-04-04,=2987.7800,=3359.7700,=988042747543.8298,=802836271809,=531212132394.0601,=3.4684,=0.3819,=4.5190,=3.7080,=3.2036
2023-04-03,=2940.3700,=3306.4600,=969582942825.8196,=788187393839,=519785572141.6802,=3.4036,=0.3278,=4.5190,=3.7086,=3.2036
2023-03-31,=2891.2700,=3251.2500,=954085875614.3101,=775319052263,=511948818340.0300,=3.3505,=0.2796,=4.5190,=3.7092,=3.2036
2023-03-30,=2835.5800,=3188.6300,=937025316926.8700,=761634610124,=501826322359.5901,=3.2995,=0.2445,=4.5194,=3.7097,=3.2012
2023-03-29,=2799.5200,=3148.0700,=926108866693.8503,=752373768025,=496048733614.1600,=3.2640,=0.2265,=4.5194,=3.7103,=3.2012
2023-03-28,=2846.4000,=3200.7900,=941916808594.0602,=764952558954,=504643042578.8901,=3.3209,=0.2587,=4.5194,=3.7106,=3.2012
2023-03-27,=2821.2200,=3172.4800,=934294650504.7902,=758479249553,=500324633747.9900,=3.2941,=0.2407,=4.5194,=3.7109,=3.2012
2023-03-24,=2791.5100,=3139.0700,=922158270962.6804,=748013959376,=493534132371.6201,=3.2513,=0.2221,=4.5194,=3.7110,=3.2012
2023-03-23,=2785.4400,=3132.2400,=919764795282.2498,=746041415913,=492417094660.1300,=3.2428,=0.2163,=4.5194,=3.7112,=3.2000
2023-03-22,=2790.6900,=3138.1500,=920688153916.3596,=746963819276,=492498729780.1100,=3.2461,=0.2175,=4.5194,=3.7125,=3.2000
2023-03-21,=2789.4000,=3136.7000,=920222029059.2300,=746590991820,=491538567316.0799,=3.2444,=0.2166,=4.5194,=3.7138,=3.2000
2023-03-20,=2779.1100,=3125.1200,=916249762639.1899,=743837672959,=489626038641.4600,=3.2304,=0.2113,=4.5194,=3.7145,=3.2000
2023-03-17,=2816.7500,=3167.4500,=928479631919.9900,=753325257631,=496063900765.6000,=3.2740,=0.2291,=4.5194,=3.7152,=3.2000
2023-03-16,=2825.7800,=3177.6100,=932910181500.2898,=755795149162,=497212321783.5700,=3.2896,=0.2346,=4.5211,=3.7166,=3.1994
2023-03-15,=2900.3800,=3261.4900,=960831785067.9500,=777826293207,=512993913648.8400,=3.3881,=0.3114,=4.5211,=3.7181,=3.1994
2023-03-14,=2898.0100,=3258.8200,=959792368716.9502,=776604334611,=511897753985.4000,=3.3844,=0.3056,=4.5211,=3.7183,=3.1994
2023-03-13,=2846.3900,=3200.7800,=934265881888.1600,=756705997124,=497374320822.2899,=3.2944,=0.2382,=4.5211,=3.7186,=3.1994
2023-03-10,=2823.1900,=3174.6900,=923673968233.2600,=748815710405,=491988370460.6500,=3.2571,=0.2233,=4.5211,=3.7192,=3.1994
2023-03-09,=2846.3400,=3200.7300,=933925089669.0100,=756472401084,=497261194036.8499,=3.2932,=0.2374,=4.5261,=3.7198,=3.1978
2023-03-08,=2870.9600,=3228.4100,=940860229907.6100,=762195651178,=501266813886.4900,=3.3177,=0.2536,=4.5261,=3.7208,=3.1978
2023-03-07,=2880.9100,=3239.5900,=945510338018.8300,=765771542274,=503793074271.6199,=3.3341,=0.2640,=4.5261,=3.7219,=3.1978
2023-03-06,=2946.6900,=3313.5700,=966783741217.2104,=782975429408,=515679631152.7400,=3.4209,=0.3367,=4.5261,=3.7219,=3.1978
2023-03-03,=2919.7900,=3283.3200,=962288688598.0601,=779167174923,=513982357309.8099,=3.4050,=0.3229,=4.5261,=3.7220,=3.1978
2023-03-02,=2925.1600,=3289.3600,=963725407268.6804,=779980352706,=514618102373.4902,=3.4101,=0.3274,=4.5264,=3.7221,=3.1975
2023-03-01,=2948.0100,=3315.0500,=970469083727.2500,=785283328102,=518534659426.7300,=3.4339,=0.3491,=4.5264,=3.7223,=3.1975
2023-02-28,=2956.7500,=3324.8800,=970618692044.7500,=785748485351,=519048416327.0299,=3.4345,=0.3504,=4.5264,=3.7226,=3.1975
2023-02-27,=2935.1200,=3300.5500,=965629158717.5699,=781552031312,=516786073010.3801,=3.4168,=0.3344,=4.5264,=3.7228,=3.1975
