日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PB市值加权,PB 分位点,PB 80%分位点值,PB 50%分位点值,PB 20%分位点值
2021-07-14,=6524.8700,=7419.6300,=2238272056171.9600,=1882345408186,=1133940338171.6106,=3.5837,=0.9566,=3.1274,=2.6949,=2.1567
2021-07-13,=6750.9700,=7672.7100,=2310141272623.1196,=1940409806082,=1172728237954.0420,=3.6924,=0.9682,=3.1248,=2.6949,=2.1567
2021-07-12,=6763.0600,=7686.4400,=2314067537304.7998,=1942664239821,=1175893704780.3572,=3.6986,=0.9691,=3.1245,=2.6932,=2.1567
2021-07-09,=6540.4200,=7432.7000,=2247027807061.3101,=1888307305872,=1138934556593.0300,=3.5906,=0.9583,=3.1245,=2.6915,=2.1566
2021-07-08,=6192.3500,=7029.9100,=2134973921780.5100,=1792403415032,=1079290973974.1360,=3.3950,=0.9207,=3.1242,=2.6911,=2.1566
2021-07-07,=6170.9600,=7005.6300,=2131185807931.5901,=1788890913922,=1077276675910.2776,=3.3903,=0.9206,=3.1233,=2.6907,=2.1566
2021-07-06,=5980.0800,=6788.9200,=2073253700197.6704,=1738944887786,=1046376379214.3828,=3.2987,=0.8995,=3.1229,=2.6905,=2.1566
2021-07-05,=5922.2700,=6721.9200,=2054671675849.2395,=1722766956088,=1036565214747.9900,=3.2654,=0.8864,=3.1227,=2.6903,=2.1566
2021-07-02,=5655.6800,=6419.3300,=1969345525055.0400,=1652964596798,=991621923053.3390,=3.1298,=0.8056,=3.1227,=2.6901,=2.1565
2021-07-01,=5582.7500,=6336.5600,=1945487313152.2605,=1630038582955,=979581753375.6608,=3.0919,=0.7718,=3.1225,=2.6900,=2.1565
2021-06-30,=5689.2300,=6457.4100,=1977988437260.4104,=1659661198883,=996953691472.7428,=3.1435,=0.8162,=3.1225,=2.6891,=2.1565
2021-06-29,=5591.4500,=6345.4300,=1947463448555.8999,=1634098372386,=980870849632.5690,=3.0937,=0.7738,=3.1224,=2.6883,=2.1565
2021-06-28,=5674.1500,=6437.2300,=1972866038653.9497,=1654146928751,=996430295583.8304,=3.1317,=0.8084,=3.1224,=2.6878,=2.1565
2021-06-25,=5722.2100,=6491.7500,=1988935486102.6196,=1666920050810,=1005304529817.8762,=3.1572,=0.8294,=3.1224,=2.6873,=2.1557
2021-06-24,=5575.0900,=6323.2700,=1927342994000.9099,=1615932638922,=978679692243.1664,=3.0556,=0.7416,=3.1224,=2.6873,=2.1557
2021-06-23,=5612.5400,=6364.3100,=1943221685109.2200,=1627517265917,=984844735744.1008,=3.0790,=0.7604,=3.1224,=2.6872,=2.1557
2021-06-22,=5519.8400,=6258.5400,=1914846107669.7800,=1604835024781,=969250983205.6504,=3.0326,=0.7179,=3.1224,=2.6871,=2.1557
2021-06-21,=5497.2700,=6225.5800,=1907764387337.4099,=1598339575677,=965334384095.7980,=3.0123,=0.7006,=3.1224,=2.6871,=2.1557
2021-06-18,=5526.4000,=6257.3900,=1911703592256.8203,=1606929832774,=970170683868.1523,=3.0170,=0.7041,=3.1224,=2.6870,=2.1549
2021-06-17,=5431.3000,=6147.9700,=1876292994973.0801,=1585457195554,=955299820443.7816,=2.9707,=0.6679,=3.1224,=2.6869,=2.1549
2021-06-16,=5408.3100,=6121.9600,=1866570372583.5496,=1577802832183,=951971556447.0924,=2.9553,=0.6591,=3.1224,=2.6860,=2.1549
2021-06-15,=5648.5100,=6393.8500,=1946414754841.1804,=1642016529622,=994032626279.2697,=3.0817,=0.7615,=3.1224,=2.6852,=2.1549
2021-06-11,=5838.4300,=6608.8300,=1974942073526.6399,=1678048726856,=1016572690025.5380,=3.1709,=0.8382,=3.1224,=2.6847,=2.1549
