日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PB市值加权,PB 分位点,PB 80%分位点值,PB 50%分位点值,PB 20%分位点值
2022-05-12,=10382.4800,=11978.0700,=4199894999094.0498,=3432281634663,=2125056075586.4604,=4.1636,=0.3391,=5.4684,=4.4097,=3.9486
2022-05-11,=10300.2300,=11883.1900,=4166329349421.1782,=3407272139408,=2108333816575.4070,=4.1304,=0.3200,=5.4685,=4.4098,=3.9481
2022-05-10,=10089.9000,=11640.5300,=4078809225657.2979,=3339434641947,=2064769269011.3015,=4.0436,=0.2618,=5.4685,=4.4099,=3.9481
2022-05-09,=10000.9100,=11537.8600,=4042135078021.3291,=3312031258005,=2046274503585.7625,=4.0072,=0.2381,=5.4685,=4.4099,=3.9481
2022-05-06,=10023.3700,=11557.6300,=4057741036206.9902,=3319578659435,=2051126166997.4651,=4.0157,=0.2424,=5.4685,=4.4102,=3.9481
2022-05-05,=10205.3900,=11767.1000,=4131539712953.0811,=3378731318587,=2089713934445.6855,=4.0895,=0.2976,=5.4685,=4.4105,=3.9481
2022-04-29,=10137.6000,=11684.3900,=4095572649740.7910,=3347140629133,=2077215458128.8645,=4.0564,=0.2714,=5.4688,=4.4106,=3.9477
2022-04-28,=9896.8400,=11406.9000,=4005900766628.5898,=3275280142376,=2015785562727.5964,=3.9977,=0.2333,=5.4688,=4.4107,=3.9477
2022-04-27,=9946.6500,=11463.9700,=4024000208009.0098,=3285817681070,=2020960655111.6316,=4.0611,=0.2761,=5.4688,=4.4112,=3.9477
2022-04-26,=9762.2000,=11250.4300,=3950237313136.6289,=3226768716196,=1985552632628.5413,=4.0134,=0.2405,=5.4688,=4.4118,=3.9477
2022-04-25,=9660.1100,=11132.5000,=3894550059662.2402,=3186321025084,=1957889505023.6599,=3.9739,=0.2175,=5.4688,=4.4119,=3.9477
2022-04-22,=10183.0600,=11735.1700,=4098415931876.6812,=3347293744107,=2057634829710.4236,=4.2052,=0.3602,=5.4699,=4.4121,=3.9476
2022-04-21,=10206.7900,=11762.5100,=4109253174450.1602,=3347739114830,=2060515945672.8665,=4.2266,=0.3758,=5.4699,=4.4124,=3.9476
2022-04-20,=10496.4800,=12096.2200,=4214841254093.0601,=3442719035486,=2118789742893.5200,=4.3387,=0.4495,=5.4699,=4.4128,=3.9476
2022-04-19,=10675.9200,=12303.0100,=4294825287663.2217,=3514554386652,=2129308556223.0503,=4.4355,=0.5140,=5.4699,=4.4128,=3.9476
2022-04-18,=10890.1700,=12549.9100,=4383309966334.4990,=3579689829765,=2173081621037.2903,=4.5323,=0.5605,=5.4699,=4.4128,=3.9476
2022-04-15,=10947.7700,=12614.3800,=4408978956417.9805,=3605253824391,=2181633246048.4104,=4.5674,=0.5835,=5.4708,=4.4124,=3.9474
2022-04-14,=10842.8000,=12493.4300,=4368564926023.4619,=3570844196051,=2158417960242.0300,=4.5302,=0.5602,=5.4708,=4.4121,=3.9474
2022-04-13,=10758.9000,=12396.7600,=4343799054857.6602,=3535392651516,=2141343522582.0295,=4.5061,=0.5507,=5.4708,=4.4119,=3.9474
2022-04-12,=11083.4600,=12770.7200,=4466092647055.9785,=3633520840289,=2207457918906.1797,=4.6210,=0.6140,=5.4708,=4.4118,=3.9474
2022-04-11,=10816.1200,=12462.6900,=4354616820844.8979,=3545906431584,=2153857811201.6101,=4.5052,=0.5501,=5.4708,=4.4112,=3.9474
2022-04-08,=11013.4000,=12690,=4423326666357.3096,=3606867181420,=2192116498114.7896,=4.5771,=0.5893,=5.4714,=4.4107,=3.9467
2022-04-07,=11162.1000,=12861.3400,=4465903103190.7500,=3655411673984,=2221510488747.5200,=4.6888,=0.6427,=5.4714,=4.4106,=3.9467
2022-04-06,=11371.1700,=13102.2400,=4547950978515.1104,=3719764900871,=2262716228649.2202,=4.7752,=0.6652,=5.4714,=4.4105,=3.9467
2022-04-01,=11371.5000,=13102.6100,=4554632639954.4414,=3727410129179,=2262463644597.8306,=4.7822,=0.6673,=5.4714,=4.4102,=3.9467
2022-03-31,=11500.0400,=13250.7300,=4602833692186.5508,=3767875742080,=2289376815164.7705,=4.8330,=0.6772,=5.4714,=4.4099,=3.9467
2022-03-30,=11535.3100,=13291.3600,=4614029115955.4805,=3778301549824,=2293395362542.7305,=4.8855,=0.6881,=5.4724,=4.4099,=3.9460
2022-03-29,=11280.8800,=12998.2000,=4505891508485.9199,=3687109370662,=2243109156205.8896,=4.7786,=0.6667,=5.4724,=4.4098,=3.9460
